horizon,mse,r_squared,rmse
1,0.24614559000174835,0.9428699645971039,0.4961306178837871
2,0.529995019016154,0.8770933414319375,0.7280075679662636
3,0.7643297788111644,0.8228799057254536,0.87425956032014
4,0.9846919521517752,0.7719266316085155,0.9923164576644767
5,1.1820897637045331,0.7263403812565686,1.087239515334378
6,1.3532233574571018,0.6868786305230767,1.1632812890514064
7,1.5003551095268652,0.6529368150456417,1.2248898356696676
8,1.6317862482539547,0.6227188753211521,1.2774138907393933
9,1.8098387497811328,0.5816797868854989,1.345302475200701
10,1.9962662907694202,0.5387645845310338,1.4128928801467648
11,2.173780380958185,0.49795893290613014,1.4743745728132267
12,2.3524787852774214,0.4570061500916055,1.5337792492002953
13,2.5193754452114074,0.4188308531826195,1.5872540581807966
14,2.666254588340516,0.38535663576081847,1.632866984276587
15,2.817432762468761,0.3507632382344864,1.6785210044764889
16,2.9572703286607127,0.3187058681077901,1.7196715758134495
17,3.0877635848569405,0.28889553115379585,1.7572033419206043
18,3.2254110216686556,0.2576099059983996,1.7959429338563784
19,3.36225476810419,0.2263890609806718,1.8336452132580583
20,3.484876801257224,0.19889014471696564,1.8667824729349758
21,3.5745136957484664,0.17929673893703446,1.8906384360179675
22,3.652310911023135,0.16246558444702397,1.9111020148132163
23,3.7209351737471654,0.1477249744553788,1.9289725694646789
24,3.7999579214832306,0.13056089716825103,1.949348076020091
25,3.888272216863482,0.11120042613238923,1.9718702332718252
26,3.96219376135904,0.09522406394923555,1.9905260011763322
27,4.028185303058735,0.08129635355928155,2.007033956628222
28,4.099647360324659,0.06608176717786063,2.0247585930981153
29,4.173721637873694,0.05024210927253758,2.04296882939356
30,4.239368877637527,0.03634765675356455,2.058972772437151
31,4.298605338935596,0.02391616017569642,2.073307825417055
32,4.359230704628603,0.01125053717380331,2.0878770808236298
33,4.410929109574581,0.0005342747668453107,2.100221204914992
34,4.455297371795875,-0.008542042778716397,2.1107575350560457
35,4.496637489121721,-0.016890345941875884,2.120527644036201
36,4.534112933761136,-0.02430490026865617,2.129345658591187
37,4.573388899322581,-0.03229303520999238,2.138548315872845
38,4.606234827212124,-0.038980922548002894,2.146214068356678
39,4.626296762159381,-0.042829794531080045,2.1508827867086064
40,4.651201052053753,-0.04829881562204674,2.1566643345810106
41,4.670439887223425,-0.05250037999679358,2.16112005386638
42,4.688442676109264,-0.05652058705027074,2.165281200239189
43,4.697344017772805,-0.05884125371920379,2.167335695680945
44,4.712186903248516,-0.062176761106465195,2.1707572188636193
45,4.720545212801528,-0.06379312741698184,2.172681571883355
46,4.725574009755348,-0.06407667721674559,2.1738385427062763
47,4.722624178627595,-0.06251380876912305,2.1731599523798506
48,4.732165610027841,-0.06384533482707888,2.175354134394637
49,4.734693170408018,-0.06310066995012487,2.175935010612224
50,4.735651396221127,-0.06202293569446016,2.1761551866126476
51,4.7283323535281605,-0.059058364504247285,2.1744728909618902
52,4.7248557398332665,-0.05701148756948604,2.1736733286842496
53,4.720195735625461,-0.054640401711778086,2.172601145085186
54,4.7218994396291745,-0.05369684494708604,2.172993198247333
55,4.7288619062408905,-0.05390041493350117,2.174594653318381
56,4.729074579930069,-0.05259252521811986,2.174643552385096
57,4.740105196096091,-0.05373877444900055,2.1771782646572815
58,4.747404201903993,-0.05404233247827572,2.1788538734628333
59,4.748919508890659,-0.05303825182203159,2.1792015760114207
60,4.761573004457274,-0.05451540186091397,2.182102885855127
