Actuals,Predictions
-2.6149804379151025,-2.6336963273915397
-1.2855923991868068,-2.5968397536041268
-3.2766715895177865,-2.6828810793927746
-2.685176629416115,-2.413097766357072
-2.022175076832245,-2.722148837344177
-2.807615015902785,-3.0571309826587325
-2.000685307493592,-2.680372319547612
-1.7805932800508917,-2.7568285214883534
-3.2834141120742815,-2.7003551563602874
-3.705584476261924,-2.3073636501382886
-0.9868687323363241,-2.5410779090507605
-1.0351788511273798,-2.386333942187146
-0.8165213050332795,-2.4305161035348353
-2.460876714137138,-2.852504434986156
0.24611415082364163,-2.1815460509122695
-0.9263811777589045,-2.334753174428477
-0.6747107919500426,-1.7273322331708227
-1.2450502354834418,-1.4557459652745333
-0.12127495195041899,-2.0090182576861184
-2.4661021402040886,-1.537270922700143
-0.5527774066560471,-1.824596667018036
-2.204706859197849,-1.2471505131828644
0.6048973939862647,-1.8557136097186138
-2.214961734062228,-1.3148164577281505
0.3688894096011647,-1.8080792018862955
-2.665740388999816,-1.7606267804024032
-4.29584439900735,-2.279593372081127
-2.691750829628417,-1.5955310008801582
-3.0121085611742795,-2.1321103668516894
-2.974648618456755,-2.116574525284499
-1.7800962303896906,-1.5357376340793607
-3.466183426509606,-2.176680884605579
-1.2053878215301177,-2.7629194191726514
-4.365117154625673,-1.9793807811671917
-1.63572736155239,-2.428379435606307
-1.442557522885631,-2.23241574154475
-2.9952085795548666,-2.2115772297264633
-0.4431032423421801,-2.740160685366784
-1.6878474289302288,-2.5004312368844075
-0.7032506994737011,-2.4499019672294873
-3.088098818759864,-2.20501726342928
-4.546992652296845,-1.9364936423758583
-4.408680651069137,-1.8065532345099409
-4.522451248065245,-2.2751214548763947
-3.5273365242356314,-1.6080040854908135
-4.061391553314647,-1.6007719863333794
-2.7631165082130114,-1.9513307203759125
-2.6281265916369554,-2.032872531996189
-4.706442363339431,-2.8363977222001604
-4.718176216339897,-2.5751405132923897
-4.654010544356206,-2.9771602778963393
-3.057133973859252,-3.025755536048128
-4.668491578803069,-2.727184426482972
-3.7609321285528177,-2.9683280739285274
-4.972539113283434,-2.2969976926935427
-3.1073789779556193,-2.8888337717477635
-4.22680543551204,-2.9013900398304653
-2.715851340856332,-2.9974972632752355
-3.463155367470153,-3.044967103896771
-3.5620188318323267,-2.752124893127578
-4.559389977233138,-2.9041037108501797
-4.379205335342607,-2.5328322907973493
-3.4311868703064627,-2.423489298438364
-3.7585858355111306,-2.5224932439946532
-3.4447431567557074,-2.95505324297656
-2.968460614825017,-2.6988942611000555
-3.4000915584546947,-2.5873310657695057
-3.06280070892642,-2.755831722855115
-2.9936708412230706,-3.046426553020119
-3.4069847916105283,-2.7328710057748786
-2.5596879688133,-2.3907354614231724
-2.6481203211840896,-2.4270254623966565
-2.9624745225749214,-2.6247165918461564
-3.0509278966032514,-2.594258959734414
-2.430979097808035,-2.4287083320556517
-1.676580335043619,-2.4073453130825158
-2.547509287506846,-2.4497360728522772
