horizon,mse,r_squared,rmse
1,0.09755694628051687,0.9882431871054641,0.3123410736366847
2,0.2200220268359088,0.9732809751061772,0.46906505608061316
3,0.3561104831347904,0.95641677191893,0.5967499335021248
4,0.519389426622242,0.9358942400954541,0.7206867742800904
5,0.7137860752650552,0.9111428735323984,0.8448586125885533
6,0.9223238253003124,0.884177103301762,0.9603769183504529
7,1.1253646669518287,0.8573790308849315,1.0608320635010184
8,1.3522870202865804,0.8272956357285273,1.1628787642254803
9,1.6116360082346946,0.7926021411110451,1.2695022679123873
10,1.8876736287487732,0.7554079785970799,1.3739263549218252
11,2.167490297434031,0.7172322406236007,1.4722398912656969
12,2.44822648114416,0.6786634492376138,1.5646809518697926
13,2.736269838938582,0.6386768816723994,1.6541674156319797
14,3.028167284380158,0.5977546906663931,1.7401630051176693
15,3.325162267171413,0.5550434689067971,1.8235027466860074
16,3.6166710751328037,0.5146038132310122,1.9017547357987055
17,3.9087277189576097,0.4743150157328111,1.9770502570641977
18,4.1844186585838345,0.4363428683930657,2.0455851628773205
19,4.456182295710368,0.3986516735117601,2.1109671469993008
20,4.718983267172505,0.3620371073954882,2.1723220910289767
21,4.9674148712283515,0.32731791287927103,2.2287698111802285
22,5.209770284597829,0.29358534959838956,2.282492121475522
23,5.433057796915416,0.26269850507400583,2.3308920603312835
24,5.650973029631878,0.23289806151018333,2.3771775343107797
25,5.856439306813171,0.20542036712013612,2.4200081212287636
26,6.045228942848196,0.18087837747706115,2.4587047286830104
27,6.211173139035862,0.1595233350564279,2.4922225299992498
28,6.362381275004198,0.14017396643701496,2.5223761168795185
29,6.499604570630143,0.12263132278797129,2.5494322055371748
30,6.615304101500467,0.10842608316497648,2.5720233477751453
31,6.720576691629092,0.095640005702197,2.5924075087896754
32,6.82005444642375,0.08377094396562723,2.6115233957259028
33,6.913358596568047,0.07312035301119946,2.629326643186055
34,7.006635265965679,0.0625170155396465,2.6470049614546776
35,7.090461184486586,0.053524683536473217,2.662791990465381
36,7.175425915143604,0.04427690003238238,2.678698548762739
37,7.25620740539615,0.03542697140856699,2.6937348431863426
38,7.328433601637892,0.02791566364775122,2.7071079774619062
39,7.38110004625734,0.02313028007966289,2.7168180002085784
40,7.4264209683601905,0.01931828297798699,2.72514604532678
41,7.465297322294081,0.016418269715755107,2.7322696284031123
42,7.500925689252169,0.013950220290028126,2.7387817892727724
43,7.537068957559379,0.011316104669316984,2.745372280321811
44,7.577736384861451,0.008146933116747301,2.7527688578704628
45,7.6166458692605294,0.00521487858739067,2.75982714481551
46,7.664903733495198,0.0010990196447016043,2.768556254349042
47,7.7051174471864625,-0.0018714029111652764,2.7758093319222166
48,7.753088002633446,-0.005920711123508227,2.784436747824135
49,7.800116071848568,-0.009911769860593056,2.7928687888707855
50,7.8458334243139936,-0.0135843826063613,2.8010414892168223
51,7.8946384727898575,-0.0176081568759332,2.8097399297425834
52,7.935059804479283,-0.020880569842365526,2.816923819431275
53,7.985045075605786,-0.025519619432094576,2.82578220597515
54,8.041156671085066,-0.031515065524791774,2.8356933316360333
55,8.11633349175803,-0.040487599369926075,2.848917951040014
56,8.186164675704852,-0.048715073026635025,2.861147440399542
57,8.279981187802427,-0.06367836608973487,2.87749564514048
58,8.384621175173429,-0.08042108570730688,2.8956210344541686
59,8.498739702366619,-0.09893191145618507,2.915259800149314
60,8.621069815170534,-0.11955789763393398,2.9361658357746987
1,0.09756041566211889,0.988242769002275,0.3123466274223541
2,0.22002667212293908,0.9732804109920219,0.4690700076992123
3,0.35614117156635855,0.9564130160595106,0.5967756459226186
4,0.5194612975830226,0.9358853694055252,0.7207366353828718
5,0.7139043843040626,0.9111281455885429,0.8449286267514331
6,0.9223409949109835,0.884174947189138,0.960385857304752
7,1.1253952747846314,0.8573751518589544,1.0608464897357353
8,1.3522904303239482,0.8272952002231005,1.162880230429578
9,1.6116967189198579,0.7925943283877936,1.2695261789029235
10,1.8878248276998002,0.7553883872564463,1.3739813782216266
11,2.167675691532684,0.717208054368216,1.472302853197223
12,2.4485142289999082,0.6786256815293699,1.5647729001359616
13,2.7366063669128238,0.638632443314995,1.6542691337605329
14,3.0285366027073044,0.5977056324239665,1.7402691178973742
15,3.3255289376242474,0.5549944029065124,1.8236032840572116
16,3.6170419161286804,0.5145540423777728,1.901852232989903
17,3.909078367220939,0.4742678570305312,1.9771389347289023
18,4.1847726300893004,0.43629518708301507,2.045671681890645
19,4.456585452374812,0.39859726873893264,2.1110626358246245
20,4.719409684343119,0.36197945973788503,2.172420236589394
21,4.967868271437407,0.32725651390076116,2.2288715242107173
22,5.2103363365044375,0.293508596241164,2.2826161167626147
23,5.43359671866659,0.2626253698658706,2.331007661649054
24,5.651459906182091,0.23283196953920493,2.3772799385394414
25,5.856887310466063,0.2053595836714578,2.4201006818862028
26,6.045598516295682,0.18082830069670963,2.4587798836609354
27,6.21148238104823,0.159481489387438,2.492284570639603
28,6.3626926936010895,0.14013188065099091,2.522437847321731
29,6.499837034609024,0.12259994293840748,2.5494777964534276
30,6.615137419412797,0.10844854765028056,2.571990944659953
31,6.720369728983116,0.09566785580285375,2.592367591408116
32,6.8198430979180955,0.08379933723482347,2.6114829308111696
33,6.913083411318851,0.07315724732285267,2.629274312679993
34,7.00621451249327,0.06257331206516314,2.6469254829883804
35,7.089971646833752,0.053590029822537244,2.662700067005999
36,7.174924078177016,0.044343741664789715,2.6786048753366023
37,7.255681009916611,0.03549694554981875,2.6936371340469396
38,7.327861437616855,0.027991558677017747,2.707002297305426
39,7.380381659447797,0.023225356737211933,2.7166857859251587
40,7.425644248321969,0.019420851246601423,2.7250035317999073
41,7.46459914072704,0.016510257831447772,2.732141859553973
42,7.5002130595810685,0.014043900504886131,2.738651686429121
43,7.536302110195508,0.011416696775227941,2.745232614951875
44,7.576905087036378,0.00825574203479551,2.7526178606984986
45,7.6159962797030465,0.005299719347733323,2.7597094556679416
46,7.664173486854598,0.0011941864087677834,2.768424368996668
47,7.704355723139807,-0.0017723584067192988,2.7756721209717488
48,7.752382298294493,-0.005829149850084869,2.7843100219434067
49,7.799475273683334,-0.009828803196608504,2.792754066093779
50,7.8451867375417015,-0.013500838694913586,2.800926049995198
51,7.894014684010659,-0.017527751351086307,2.809628922831387
52,7.934515179756764,-0.02081050146093255,2.8168271476533246
53,7.984529836562159,-0.025453447263630524,2.8256910369964654
54,8.040702833184858,-0.03145684745362143,2.8356133081195782
55,8.115959218540501,-0.04043961875872881,2.848852263375639
56,8.185807244466382,-0.04866928314306884,2.861084976799253
57,8.279770126605795,-0.06365125235315938,2.8774589704469804
58,8.384579603535483,-0.08041572889114734,2.895613856082244
59,8.498777070938443,-0.09893674340980407,2.915266209274625
60,8.62124650574814,-0.11958084320053275,2.9361959242782385
