Maturity (Years),Execution Date,Horizon (Years),Metric,Value
5.0,1990-02-01,5.0,R-Squared,-1.4099603361938229
6.0,1990-02-01,0.5,RMSE,0.002712549196681916
6.0,1990-02-01,0.5,R-Squared,-0.038673972685189684
6.0,1990-02-01,1.0,RMSE,0.004238000928025352
6.0,1990-02-01,1.0,R-Squared,-0.1969215175819683
6.0,1990-02-01,2.0,RMSE,0.00937333701449684
6.0,1990-02-01,2.0,R-Squared,-0.6594629113672579
6.0,1990-02-01,3.0,RMSE,0.014119375593249097
6.0,1990-02-01,3.0,R-Squared,-1.0143168006422774
6.0,1990-02-01,4.0,RMSE,0.018864153999529353
6.0,1990-02-01,4.0,R-Squared,-1.2929473597756571
6.0,1990-02-01,5.0,RMSE,0.017365148500462238
6.0,1990-02-01,5.0,R-Squared,-1.3078989432731034
7.0,1990-02-01,0.5,RMSE,0.002666624662118256
7.0,1990-02-01,0.5,R-Squared,-0.09368163287634901
7.0,1990-02-01,1.0,RMSE,0.003807102617162616
7.0,1990-02-01,1.0,R-Squared,-0.08145781518622242
7.0,1990-02-01,2.0,RMSE,0.008386450895800708
7.0,1990-02-01,2.0,R-Squared,-0.5321345741937802
7.0,1990-02-01,3.0,RMSE,0.012803082065753273
7.0,1990-02-01,3.0,R-Squared,-0.8778833897263509
7.0,1990-02-01,4.0,RMSE,0.01757085464665841
7.0,1990-02-01,4.0,R-Squared,-1.1390849816836317
7.0,1990-02-01,5.0,RMSE,0.01617372590080021
7.0,1990-02-01,5.0,R-Squared,-1.167991920114663
8.0,1990-02-01,0.5,RMSE,0.002720416617648046
8.0,1990-02-01,0.5,R-Squared,-0.19742359875505233
8.0,1990-02-01,1.0,RMSE,0.0034416600823806123
8.0,1990-02-01,1.0,R-Squared,0.0170894665499709
8.0,1990-02-01,2.0,RMSE,0.007351895275114046
8.0,1990-02-01,2.0,R-Squared,-0.3779558740929396
8.0,1990-02-01,3.0,RMSE,0.011408380984167167
8.0,1990-02-01,3.0,R-Squared,-0.7113300292567906
8.0,1990-02-01,4.0,RMSE,0.0162079804209494
8.0,1990-02-01,4.0,R-Squared,-0.9616937874222693
8.0,1990-02-01,5.0,RMSE,0.014914646438378905
8.0,1990-02-01,5.0,R-Squared,-1.0005856934967423
9.0,1990-02-01,0.5,RMSE,0.002886260688571212
9.0,1990-02-01,0.5,R-Squared,-0.3465073750660377
9.0,1990-02-01,1.0,RMSE,0.003203896092059204
9.0,1990-02-01,1.0,R-Squared,0.06524277157688207
9.0,1990-02-01,2.0,RMSE,0.006306298887811822
9.0,1990-02-01,2.0,R-Squared,-0.20503506963380325
9.0,1990-02-01,3.0,RMSE,0.009961945508297683
9.0,1990-02-01,3.0,R-Squared,-0.5185814841657739
9.0,1990-02-01,4.0,RMSE,0.014802521738256514
9.0,1990-02-01,4.0,R-Squared,-0.7669906928180041
9.0,1990-02-01,5.0,RMSE,0.013613979949050503
9.0,1990-02-01,5.0,R-Squared,-0.8115172186237913
10.0,1990-02-01,0.5,RMSE,0.003157271007292517
10.0,1990-02-01,0.5,R-Squared,-0.5230697275349789
