Maturity (Years),Execution Date,Horizon (Years),Metric,Value
5.0,1990-05-01,5.0,R-Squared,-0.5832499516356251
6.0,1990-05-01,0.5,RMSE,0.0020944966363422367
6.0,1990-05-01,0.5,R-Squared,-0.1778282397746649
6.0,1990-05-01,1.0,RMSE,0.0032884292350938036
6.0,1990-05-01,1.0,R-Squared,-0.13002004416912016
6.0,1990-05-01,2.0,RMSE,0.007009012769103075
6.0,1990-05-01,2.0,R-Squared,-0.12438090537278756
6.0,1990-05-01,3.0,RMSE,0.011740390600937055
6.0,1990-05-01,3.0,R-Squared,-0.3518032915037608
6.0,1990-05-01,4.0,RMSE,0.014139643511704558
6.0,1990-05-01,4.0,R-Squared,-0.5519186675682402
6.0,1990-05-01,5.0,RMSE,0.01282439969184029
6.0,1990-05-01,5.0,R-Squared,-0.46452336523148974
7.0,1990-05-01,0.5,RMSE,0.00212240224762719
7.0,1990-05-01,0.5,R-Squared,-0.050834379271620156
7.0,1990-05-01,1.0,RMSE,0.002790161098818189
7.0,1990-05-01,1.0,R-Squared,0.17307686360192587
7.0,1990-05-01,2.0,RMSE,0.005961447570017976
7.0,1990-05-01,2.0,R-Squared,0.07414354495204667
7.0,1990-05-01,3.0,RMSE,0.010405801108048979
7.0,1990-05-01,3.0,R-Squared,-0.1766189847752968
7.0,1990-05-01,4.0,RMSE,0.012911537185671042
7.0,1990-05-01,4.0,R-Squared,-0.3750550019238925
7.0,1990-05-01,5.0,RMSE,0.011732367458311936
7.0,1990-05-01,5.0,R-Squared,-0.3160398024525328
8.0,1990-05-01,0.5,RMSE,0.0024363757346475136
8.0,1990-05-01,0.5,R-Squared,-0.17440972363226193
8.0,1990-05-01,1.0,RMSE,0.002439540883803139
8.0,1990-05-01,1.0,R-Squared,0.36413398317657264
8.0,1990-05-01,2.0,RMSE,0.004905229629284637
8.0,1990-05-01,2.0,R-Squared,0.27802394782739925
8.0,1990-05-01,3.0,RMSE,0.009010889549188819
8.0,1990-05-01,3.0,R-Squared,0.015166679862670951
8.0,1990-05-01,4.0,RMSE,0.011625501692537354
8.0,1990-05-01,4.0,R-Squared,-0.18510727107568092
8.0,1990-05-01,5.0,RMSE,0.010595690423840665
8.0,1990-05-01,5.0,R-Squared,-0.15198452225943382
9.0,1990-05-01,0.5,RMSE,0.002989879078704576
9.0,1990-05-01,0.5,R-Squared,-0.47287894396917785
9.0,1990-05-01,1.0,RMSE,0.002377790924957627
9.0,1990-05-01,1.0,R-Squared,0.39852326287582185
9.0,1990-05-01,2.0,RMSE,0.0039423144947667915
