Maturity (Years),Execution Date,Horizon (Years),Metric,Value
6.0,1990-12-01,0.5,RMSE,0.0013702726775164883
6.0,1990-12-01,0.5,R-Squared,-0.7945162456676569
6.0,1990-12-01,1.0,RMSE,0.007381869559150414
6.0,1990-12-01,1.0,R-Squared,-0.6464845622168929
6.0,1990-12-01,2.0,RMSE,0.011014159844507121
6.0,1990-12-01,2.0,R-Squared,-1.2694416516937492
6.0,1990-12-01,3.0,RMSE,0.015655606696116937
6.0,1990-12-01,3.0,R-Squared,-1.4060008778062207
6.0,1990-12-01,4.0,RMSE,0.014319839824927273
6.0,1990-12-01,4.0,R-Squared,-1.134226959196719
6.0,1990-12-01,5.0,RMSE,0.01356869497778222
6.0,1990-12-01,5.0,R-Squared,-1.130047040368718
7.0,1990-12-01,0.5,RMSE,0.001158256085642308
7.0,1990-12-01,0.5,R-Squared,-0.45268777469131605
7.0,1990-12-01,1.0,RMSE,0.006516556038572109
7.0,1990-12-01,1.0,R-Squared,-0.4889262276276616
7.0,1990-12-01,2.0,RMSE,0.009756104664310792
7.0,1990-12-01,2.0,R-Squared,-1.0483456558592623
7.0,1990-12-01,3.0,RMSE,0.014479383001419497
7.0,1990-12-01,3.0,R-Squared,-1.1703556349815707
7.0,1990-12-01,4.0,RMSE,0.013276400235450644
7.0,1990-12-01,4.0,R-Squared,-0.9669200611202047
7.0,1990-12-01,5.0,RMSE,0.012672816795425666
7.0,1990-12-01,5.0,R-Squared,-0.962921862276211
8.0,1990-12-01,0.5,RMSE,0.0009729236741332254
8.0,1990-12-01,0.5,R-Squared,-0.148685266797014
8.0,1990-12-01,1.0,RMSE,0.005573306294268352
8.0,1990-12-01,1.0,R-Squared,-0.2813300418690574
8.0,1990-12-01,2.0,RMSE,0.008362691757113011
8.0,1990-12-01,2.0,R-Squared,-0.7548855886433403
8.0,1990-12-01,3.0,RMSE,0.013179102186387775
8.0,1990-12-01,3.0,R-Squared,-0.8929172535810355
8.0,1990-12-01,4.0,RMSE,0.012125599202301465
8.0,1990-12-01,4.0,R-Squared,-0.756840617887991
8.0,1990-12-01,5.0,RMSE,0.011677703041157995
8.0,1990-12-01,5.0,R-Squared,-0.7486856441368008
9.0,1990-12-01,0.5,RMSE,0.0010878159626205313
9.0,1990-12-01,0.5,R-Squared,-0.5736823652002534
9.0,1990-12-01,1.0,RMSE,0.004627426171115718
9.0,1990-12-01,1.0,R-Squared,-0.05517153420697962
9.0,1990-12-01,2.0,RMSE,0.006887006963182165
9.0,1990-12-01,2.0,R-Squared,-0.41039267645316757
9.0,1990-12-01,3.0,RMSE,0.011807225339768156
9.0,1990-12-01,3.0,R-Squared,-0.5958543646128882
9.0,1990-12-01,4.0,RMSE,0.010916936399217354
9.0,1990-12-01,4.0,R-Squared,-0.5215318567294918
9.0,1990-12-01,5.0,RMSE,0.010631573015041381
9.0,1990-12-01,5.0,R-Squared,-0.5070127335134564
10.0,1990-12-01,0.5,RMSE,0.0015782916751541968
10.0,1990-12-01,0.5,R-Squared,-2.586128592160338
10.0,1990-12-01,1.0,RMSE,0.003795285620679435
10.0,1990-12-01,1.0,R-Squared,0.13690195398633231
10.0,1990-12-01,2.0,RMSE,0.005394986979701398
10.0,1990-12-01,2.0,R-Squared,-0.04564370671072249
10.0,1990-12-01,3.0,RMSE,0.010413946843891608
10.0,1990-12-01,3.0,R-Squared,-0.29918113167394167
10.0,1990-12-01,4.0,RMSE,0.009698495463546923
10.0,1990-12-01,4.0,R-Squared,-0.2775983163175999
10.0,1990-12-01,5.0,RMSE,0.009578979032622538
10.0,1990-12-01,5.0,R-Squared,-0.25671786856098566
0.08333,1990-10-01,0.5,RMSE,
0.08333,1990-10-01,0.5,R-Squared,
0.08333,1990-10-01,1.0,RMSE,
0.08333,1990-10-01,1.0,R-Squared,
0.08333,1990-10-01,2.0,RMSE,
0.08333,1990-10-01,2.0,R-Squared,
0.08333,1990-10-01,3.0,RMSE,
0.08333,1990-10-01,3.0,R-Squared,
0.08333,1990-10-01,4.0,RMSE,
0.08333,1990-10-01,4.0,R-Squared,
0.08333,1990-10-01,5.0,RMSE,
0.08333,1990-10-01,5.0,R-Squared,
0.25,1990-10-01,0.5,RMSE,0.011322484177068675
0.25,1990-10-01,0.5,R-Squared,-4.008166163919267
0.25,1990-10-01,1.0,RMSE,0.015272613465216576
0.25,1990-10-01,1.0,R-Squared,-5.352136445721519
0.25,1990-10-01,2.0,RMSE,0.025408937173791158
0.25,1990-10-01,2.0,R-Squared,-3.1192744541475834
0.25,1990-10-01,3.0,RMSE,0.028277074522896687
0.25,1990-10-01,3.0,R-Squared,-3.690097733948283
0.25,1990-10-01,4.0,RMSE,0.026837831565262385
0.25,1990-10-01,4.0,R-Squared,-4.125468959959178
0.25,1990-10-01,5.0,RMSE,0.02401816917308101
0.25,1990-10-01,5.0,R-Squared,-2.807477383346901
0.5,1990-10-01,0.5,RMSE,0.011933472492875083
0.5,1990-10-01,0.5,R-Squared,-4.64285088720629
0.5,1990-10-01,1.0,RMSE,0.015990601559634922
0.5,1990-10-01,1.0,R-Squared,-5.86836542847676
0.5,1990-10-01,2.0,RMSE,0.02610946891523977
0.5,1990-10-01,2.0,R-Squared,-3.425507684584643
0.5,1990-10-01,3.0,RMSE,0.028943589223442312
0.5,1990-10-01,3.0,R-Squared,-4.023686720400166
0.5,1990-10-01,4.0,RMSE,0.027144319203524555
0.5,1990-10-01,4.0,R-Squared,-4.206839269936924
0.5,1990-10-01,5.0,RMSE,0.024318498642136435
0.5,1990-10-01,5.0,R-Squared,-2.820033301539599
1.0,1990-10-01,0.5,RMSE,0.012429852500557427
1.0,1990-10-01,0.5,R-Squared,-6.860249212118903
1.0,1990-10-01,1.0,RMSE,0.016532454145862685
1.0,1990-10-01,1.0,R-Squared,-6.629925745551224
1.0,1990-10-01,2.0,RMSE,0.026988367056417616
1.0,1990-10-01,2.0,R-Squared,-3.6830307215275297
1.0,1990-10-01,3.0,RMSE,0.02991326946010545
1.0,1990-10-01,3.0,R-Squared,-4.32966731588909
1.0,1990-10-01,4.0,RMSE,0.027769171302820306
1.0,1990-10-01,4.0,R-Squared,-4.14816978458313
1.0,1990-10-01,5.0,RMSE,0.02495531953790501
1.0,1990-10-01,5.0,R-Squared,-2.733129386622546
2.0,1990-10-01,0.5,RMSE,0.009663910270628092
2.0,1990-10-01,0.5,R-Squared,-13.908422396832176
2.0,1990-10-01,1.0,RMSE,0.014157164928101547
2.0,1990-10-01,1.0,R-Squared,-6.272186520410344
2.0,1990-10-01,2.0,RMSE,0.023321769861046605
2.0,1990-10-01,2.0,R-Squared,-3.3237048260662245
2.0,1990-10-01,3.0,RMSE,0.026754201481100193
2.0,1990-10-01,3.0,R-Squared,-3.6228495065832513
2.0,1990-10-01,4.0,RMSE,0.024860224005341748
2.0,1990-10-01,4.0,R-Squared,-3.4076113590874293
2.0,1990-10-01,5.0,RMSE,0.022479137652096425
2.0,1990-10-01,5.0,R-Squared,-2.500852968973651
3.0,1990-10-01,0.5,RMSE,0.009544720063754102
3.0,1990-10-01,0.5,R-Squared,-21.073186375096512
3.0,1990-10-01,1.0,RMSE,0.013177086829892885
3.0,1990-10-01,1.0,R-Squared,-7.041946822845366
3.0,1990-10-01,2.0,RMSE,0.02129254452374234
3.0,1990-10-01,2.0,R-Squared,-3.407523363208287
3.0,1990-10-01,3.0,RMSE,0.02487176819446051
3.0,1990-10-01,3.0,R-Squared,-3.4592031595005137
3.0,1990-10-01,4.0,RMSE,0.0232283092373569
3.0,1990-10-01,4.0,R-Squared,-3.2910998842596886
3.0,1990-10-01,5.0,RMSE,0.021096189216709024
3.0,1990-10-01,5.0,R-Squared,-2.5987333783455995
4.0,1990-10-01,0.5,RMSE,0.00855606445628519
