ExecutionDate,mse,r_squared,rmse
1989-10-01,0.438428398245467,-0.0005632437928400069,0.6621392589519722
1989-11-01,5.666284501476437,-1.8876110833766546,2.380395870748485
1989-12-01,5.977850669439928,-2.220508380991217,2.444964349318805
1990-01-01,6.587940936535753,-2.7511483590303065,2.5666984506435018
1990-02-01,6.2275248583489695,-2.7693372368476568,2.4955009233316203
1990-03-01,7.019784437276604,-3.575062099706443,2.649487580132544
1990-04-01,7.2740541721809535,-4.046317865566841,2.6970454523757943
1990-05-01,6.747620320502787,-3.216009678492786,2.5976182014497025
1990-06-01,6.812809051723752,-3.317420044183983,2.610135830129105
1990-07-01,6.663974534895396,-3.258300308602668,2.581467515754439
1990-08-01,6.001513556784801,-2.718841267809385,2.4497986767864823
1990-09-01,5.253804438785225,-2.1155165107541016,2.292117893736102
1990-10-01,5.045604346270973,-1.855887396282311,2.246242272389818
1990-11-01,4.946137515886024,-1.690342131991947,2.2239913479791293
1990-12-01,4.3048941258233215,-1.240123346246048,2.074823878266134
1991-01-01,3.6520686577548775,-0.8330326885454544,1.9110386332449896
1991-02-01,3.515348505720437,-0.7255192959962513,1.8749262667423583
1991-03-01,2.984000250520752,-0.43205352426113053,1.727425903047871
1991-04-01,2.6645549179364503,-0.2588280552500253,1.632346445438728
1991-05-01,2.672148144073212,-0.24720216506673487,1.6346706530898547
1991-06-01,2.6630484963108683,-0.22575859960676636,1.631884951922429
1991-07-01,2.7514139046165957,-0.24861384297879807,1.6587386486775413
1991-08-01,2.6503561379537377,-0.19054728384371877,1.6279914428379954
1991-09-01,2.615141491983107,-0.16215082997047592,1.6171399110723559
1991-10-01,2.3796086060006068,-0.04370474326174567,1.5425980053146078
1991-11-01,1.8547919962255266,0.19648560963190942,1.3619074844590313
1991-12-01,1.7596814674053953,0.24103147546006687,1.326529859221192
1992-01-01,1.1659859145049887,0.4885531099995737,1.0798082767348047
1992-02-01,1.0765804873458111,0.5218946360728067,1.0375839664074475
1992-03-01,0.956204308915581,0.5660505158021633,0.9778569981932844
1992-04-01,0.75598864770901,0.642517079999479,0.8694760765593323
1992-05-01,0.7604175716028564,0.6271818223496564,0.8720192495598112
1992-06-01,0.6539490880869839,0.6666079868682304,0.8086711866308728
1992-07-01,0.6211926017244227,0.6739529548450882,0.7881577264256329
1992-08-01,0.5746246374681939,0.6842773244781833,0.7580399972746781
1992-09-01,0.5276305194394127,0.6917852672269533,0.7263818000469262
1992-10-01,0.5365581248347713,0.6665343986243506,0.7325012797495792
1992-11-01,0.5307708311564168,0.6526589745595486,0.7285402055867726
1992-12-01,0.503910976306174,0.653636044789308,0.7098668722416718
1993-01-01,0.4878724987162913,0.6472820217960275,0.6984787031229308
1993-02-01,0.5095807590830125,0.6200666899935701,0.713849255153364
1993-03-01,0.5013193175009332,0.6092122748498321,0.7080390649539989
1993-04-01,0.5308480142447711,0.5600900929438507,0.728593174717394
1993-05-01,0.572868061748754,0.505166015413133,0.7568804804913085
1993-06-01,0.6648914361614345,0.41442128992702076,0.8154087540377737
1993-07-01,0.6945460755418527,0.37222229915918614,0.8333943097609035
1993-08-01,0.7516886988296808,0.31505715197544837,0.8669998263146774
1993-09-01,0.8601889158857722,0.21253799738307289,0.9274637005758081
1993-10-01,0.8648622616071576,0.1954745319494846,0.929979710320154
1993-11-01,0.8196468567553021,0.20849968799987229,0.9053435020782455
1993-12-01,0.9536099634556633,0.03537367048699358,0.9765295507334447
1994-01-01,0.9156704951654654,0.032524952310871824,0.9569067327412141
1994-02-01,0.9189559665027256,-0.04740308467755816,0.9586219100890223
1994-03-01,0.9784466601271636,-0.2824773686523572,0.9891646274140435
1994-04-01,0.7780110512785294,-0.15269828890063697,0.8820493474168718
1994-05-01,0.6948183500355422,-0.14405328076032053,0.8335576464981544
1994-06-01,0.8123433459760123,-0.543935167791491,0.9013009186592524
1994-07-01,0.7321196075995794,-0.5824421937572812,0.8556398819594487
1994-08-01,0.7475052276494102,-0.8210476054842699,0.8645838465119564
1994-09-01,0.7588639467835345,-1.1828527712375219,0.8711279738267705
1994-10-01,0.8034200702533344,-1.7947858228279796,0.8963370293886861
1994-11-01,0.5778826117913147,-1.1447775332322259,0.7601859060725309
1994-12-01,0.4554548742222973,-0.7144673028064306,0.6748739691396441
1995-01-01,0.4606620796239316,-0.7574370917183397,0.6787209143852365
1995-02-01,0.4875413797663288,-0.8514306178034947,0.6982416342258092
1995-03-01,0.57050827654446,-0.9980828432431001,0.75531998288438
1995-04-01,0.5890624454947705,-0.9836586728361143,0.7675040361423323
1995-05-01,0.7370684491146319,-1.3491116324937966,0.8585269064593327
1995-06-01,0.8464136579596223,-1.5038417335277607,0.9200074227741982
1995-07-01,0.951393182618126,-1.5915366475054369,0.9753938602524244
1995-08-01,1.1008564399884455,-1.6664954982677491,1.0492170604734015
1995-09-01,1.045396043506074,-1.3687766327944964,1.0224461078736982
1995-10-01,1.1560709090354042,-1.4179579667210622,1.0752073795484312
1995-11-01,1.3238335718522898,-1.5839967821315084,1.150579667755471
1995-12-01,1.4682411414826382,-1.7372582488039123,1.2117100071727716
1996-01-01,1.5060734304702708,-1.811942592535106,1.2272218342542112
1996-02-01,2.0413354265201824,-2.860255109352426,1.428753102015944
1996-03-01,1.8617658129206618,-2.5443127849202045,1.3644653945485983
1996-04-01,2.0053668143677434,-2.6702841658519225,1.4161097465831325
1996-05-01,2.045830482489579,-2.483813367782956,1.4303253065263086
1996-06-01,1.9646438354392783,-2.1186783401069427,1.4016575314388597
