execution_date,mse,r_squared,rmse
1989-10-01,0.6785362039727753,-0.5485273946551423,0.8237330902499761
1989-11-01,7.78019884295041,-2.9648888798160273,2.7893007802943033
1989-12-01,7.789668589058057,-3.1966075038398216,2.7909977766128833
1990-01-01,7.716841982673107,-3.3939402947079396,2.7779204421064883
1990-02-01,7.850873834447307,-3.7519025229263745,2.8019410833290745
1990-03-01,8.052731527488184,-4.248273239685904,2.837733519463761
1990-04-01,7.917372123626387,-4.492614634160413,2.813782529554547
1990-05-01,7.619615818193064,-3.760844936441977,2.7603651602990977
1990-06-01,7.6421940327413855,-3.8430187090232213,2.764451850320672
1990-07-01,7.253570603165199,-3.6350540171165964,2.6932453663127687
1990-08-01,6.514659975803574,-3.0368127364097104,2.5523831953301164
1990-09-01,6.327647661246206,-2.7523076834213764,2.5154815962845376
1990-10-01,6.280873896928209,-2.5550684058556397,2.5061671725821104
1990-11-01,6.709742001341181,-2.6496157947542422,2.5903169692802424
1990-12-01,6.101105351103398,-2.1748117689885165,2.470041568699482
1991-01-01,5.638049561099286,-1.829828821314563,2.3744577404323888
1991-02-01,5.389637545074945,-1.645519659663659,2.321559291742286
1991-03-01,4.864260897721923,-1.3344106490247922,2.2055069480103486
1991-04-01,4.398683457055513,-1.0780904550445114,2.09730385425086
1991-05-01,4.208735657966347,-0.9643911721181053,2.051520328431173
1991-06-01,3.9442918882840887,-0.8154944260763675,1.9860241409117083
1991-07-01,3.7288778283826116,-0.6921948629695693,1.9310302505094559
1991-08-01,3.5771408541832597,-0.6068615333946552,1.891333089168394
1991-09-01,3.582885829567955,-0.5922097344585104,1.8928512433807245
1991-10-01,2.8745264115613387,-0.26077744163990024,1.6954428364180665
1991-11-01,2.1996969045034698,0.04706936367339698,1.483137520428726
1991-12-01,2.1820864158737927,0.05884392252178938,1.477188686618535
1992-01-01,1.3660811128189183,0.40078355325915216,1.1687947265533492
1992-02-01,1.3373116338892237,0.40610491001839866,1.1564219099832136
1992-03-01,1.095684195853916,0.5027510468199472,1.0467493471953617
1992-04-01,0.6594089974391204,0.688186516300854,0.8120400220673365
1992-05-01,0.6917315181099418,0.6608572794268062,0.8317039846663846
1992-06-01,0.5721045874693228,0.7083334106386157,0.7563759564325949
1992-07-01,0.49657782931194006,0.7393598483189523,0.7046827863031281
1992-08-01,0.4086977389063123,0.7754444637533315,0.6392947199111786
1992-09-01,0.31364791027402716,0.8167829507803246,0.5600427753966898
1992-10-01,0.3049917346242623,0.8104506343419902,0.5522605676890776
1992-11-01,0.31530156491892025,0.7936639271541989,0.561517199130107
1992-12-01,0.32989891970477137,0.7732434893832276,0.5743682788114011
1993-01-01,0.34607208848218995,0.7497996962660354,0.5882789206509017
1993-02-01,0.36443873048884673,0.7282817086376435,0.6036876100176702
1993-03-01,0.37499911972665656,0.7076812167106991,0.6123717169551975
1993-04-01,0.4032875731621102,0.6657985071696226,0.635049268295075
1993-05-01,0.40839191915186723,0.6472377950167064,0.639055489884773
1993-06-01,0.42272013308575535,0.6277047698443609,0.6501693110919304
1993-07-01,0.44100470080340337,0.6013901353997807,0.6640818479701154
1993-08-01,0.4702302552831274,0.5715236230338552,0.6857333704021756
1993-09-01,0.48903541896689406,0.5523113547984653,0.6993106741405383
1993-10-01,0.5024285129931984,0.532623225082536,0.7088219190975956
1993-11-01,0.5279992608438062,0.4901321511216714,0.7266355763681037
1993-12-01,0.5741336237961502,0.41923382578182256,0.7577160575018522
1994-01-01,0.5957505046397563,0.3705445889866559,0.7718487576201417
1994-02-01,0.641675556099083,0.2686342095604929,0.8010465380357642
1994-03-01,0.8706012012385644,-0.14112131320976284,0.9330601273436586
1994-04-01,0.7504896053000767,-0.11192261658171443,0.8663080314184307
1994-05-01,0.66839171967511,-0.1005405077287127,0.817552273359392
1994-06-01,0.7861319600989612,-0.4941179560760307,0.8866408292532897
1994-07-01,0.7150087101043462,-0.5454577913612153,0.8455818766413731
1994-08-01,0.6555575248365267,-0.5970476415459407,0.8096650695420463
1994-09-01,0.7785525412181743,-1.2394865105337236,0.8823562439390193
1994-10-01,0.7864412083639138,-1.7357229685961402,0.8868152053071225
1994-11-01,0.43813091960461253,-0.6260972969397636,0.6619145863361923
1994-12-01,0.32485201538932235,-0.22283938576081774,0.5699579066819955
1995-01-01,0.32480652806404203,-0.23914484239294143,0.5699180011756446
1995-02-01,0.3195625027535216,-0.21353351008554666,0.5652985961007878
1995-03-01,0.356399216038831,-0.248211793220118,0.5969918056714272
1995-04-01,0.3745994946489592,-0.26145800344868575,0.6120453370861992
1995-05-01,0.38710220932724965,-0.23373386011434816,0.6221753847005277
1995-06-01,0.4178940113986208,-0.23620460999355442,0.646447222438631
1995-07-01,0.4669828468545434,-0.2720326185748214,0.683361432080084
1995-08-01,0.5256197938625148,-0.2731567561611654,0.7249964095514645
1995-09-01,0.5696984782964125,-0.2908872685237818,0.7547837294857465
1995-10-01,0.638129608445885,-0.33466775998172493,0.7988301499354447
1995-11-01,0.712292747350175,-0.3903274597524933,0.8439743760033092
1995-12-01,0.7406253341950517,-0.3807560270729087,0.8605959180678535
1996-01-01,0.7135546097712345,-0.3322554921435539,0.8447216167301713
1996-02-01,0.7271321501231991,-0.37503888935704177,0.8527204407795084
1996-03-01,0.7370411879701864,-0.40313270735025,0.8585110296147548
1996-04-01,0.8011988971988588,-0.46637892131177083,0.8950971440010626
1996-05-01,0.8863726134606779,-0.5093903361207515,0.9414736392808233
1996-06-01,0.8909675089142266,-0.41432305523639945,0.9439107526213623
