execution_date,forecast_date,horizon,prediction,actual
1989-10-01,1989-11-01,1,0.18282840959400937,-0.24914119099276752
1989-10-01,1989-12-01,2,0.4598295593379981,0.07647059755068451
1989-10-01,1990-01-01,3,0.6614828066970705,0.30612178147216523
1989-10-01,1990-02-01,4,0.8074463755996519,0.8176197562096037
1989-10-01,1990-03-01,5,0.9095876993199514,1.6196512277273807
1989-10-01,1990-04-01,6,0.9771658984494648,2.062556534019971
1989-10-01,1990-05-01,7,1.022525854744564,1.0081197557124713
1989-10-01,1990-06-01,8,1.0559864812086353,0.3264386515772397
1989-10-01,1990-07-01,9,1.083912301467991,-0.7588913302971004
1989-10-01,1990-08-01,10,1.1119916975856337,-1.2513878714040996
1989-10-01,1990-09-01,11,1.1393075288179153,-0.7408997348118894
1989-10-01,1990-10-01,12,1.1648078118850078,-1.6037078968348606
1989-10-01,1990-11-01,13,1.1809752443602757,-0.9680971898948603
1989-10-01,1990-12-01,14,1.1902868066593795,-1.0266385005860936
1989-10-01,1991-01-01,15,,-1.2740079945094738
1989-10-01,1991-02-01,16,,-0.7751346268749875
1989-10-01,1991-03-01,17,,-0.29771916826951594
1989-10-01,1991-04-01,18,,-0.9727994441075547
1989-10-01,1991-05-01,19,,-1.250994204966524
1989-10-01,1991-06-01,20,,-0.6835941192351389
1989-10-01,1991-07-01,21,,-1.136599701596895
1989-10-01,1991-08-01,22,,-2.1085998781299944
1989-10-01,1991-09-01,23,,-2.447259797606499
1989-10-01,1991-10-01,24,,-3.459851754339707
1989-10-01,1991-11-01,25,,-3.9914559943904293
1989-10-01,1991-12-01,26,,-3.7931949550272703
1989-10-01,1992-01-01,27,,-3.7637424648960716
1989-10-01,1992-02-01,28,,-2.9445823401205002
1989-10-01,1992-03-01,29,,-2.265985803628291
1989-10-01,1992-04-01,30,,-2.4100317335164654
1989-10-01,1992-05-01,31,,-2.8422680215235077
1989-10-01,1992-06-01,32,,-3.8378031174072085
1989-10-01,1992-07-01,33,,-4.002735660957742
1989-10-01,1992-08-01,34,,-5.127956973419357
1989-10-01,1992-09-01,35,,-5.005130149426236
1989-10-01,1992-10-01,36,,-3.86325138393396
1989-10-01,1992-11-01,37,,-2.819974737694884
1989-10-01,1992-12-01,38,,-2.808291897806063
1989-10-01,1993-01-01,39,,-3.5277552373034164
1989-10-01,1993-02-01,40,,-3.89704534261046
1989-10-01,1993-03-01,41,,-3.5448358757673253
1989-10-01,1993-04-01,42,,-4.33223877121382
1989-10-01,1993-05-01,43,,-2.8886919959686246
1989-10-01,1993-06-01,44,,-2.946559896224945
1989-10-01,1993-07-01,45,,-2.4283531634248683
1989-10-01,1993-08-01,46,,-2.706280219410719
1989-10-01,1993-09-01,47,,-2.2020302660568634
1989-10-01,1993-10-01,48,,-2.0233503467767364
1989-10-01,1993-11-01,49,,-2.317425416884381
1989-10-01,1993-12-01,50,,-1.7611203193425609
1989-10-01,1994-01-01,51,,-1.889445607493758
1989-10-01,1994-02-01,52,,-1.4298325931567903
1989-10-01,1994-03-01,53,,-0.6292201563625335
1989-10-01,1994-04-01,54,,0.4525732437996935
1989-10-01,1994-05-01,55,,0.6789205212887691
1989-10-01,1994-06-01,56,,1.2041510050157664
1989-10-01,1994-07-01,57,,0.5191104309769662
1989-10-01,1994-08-01,58,,0.4700259103935908
1989-10-01,1994-09-01,59,,1.1808172388152647
1989-10-01,1994-10-01,60,,0.9981575135605179
1989-11-01,1989-12-01,1,0.1534479451569815,0.07647059755068451
1989-11-01,1990-01-01,2,0.4467385439790801,0.30612178147216523
1989-11-01,1990-02-01,3,0.6590012587293311,0.8176197562096037
1989-11-01,1990-03-01,4,0.8093835156495722,1.6196512277273807
1989-11-01,1990-04-01,5,0.9127769785410562,2.062556534019971
1989-11-01,1990-05-01,6,0.9838353353213547,1.0081197557124713
1989-11-01,1990-06-01,7,1.0344097600110838,0.3264386515772397
1989-11-01,1990-07-01,8,1.0722220116321055,-0.7588913302971004
1989-11-01,1990-08-01,9,1.1027535614586985,-1.2513878714040996
1989-11-01,1990-09-01,10,1.1267894252615935,-0.7408997348118894
1989-11-01,1990-10-01,11,1.1432593132240587,-1.6037078968348606
1989-11-01,1990-11-01,12,1.1535542270891912,-0.9680971898948603
1989-11-01,1990-12-01,13,1.1582754439056413,-1.0266385005860936
1989-11-01,1991-01-01,14,1.162821743699141,-1.2740079945094738
1989-11-01,1991-02-01,15,1.1672397122630618,-0.7751346268749875
1989-11-01,1991-03-01,16,1.1715635826423605,-0.29771916826951594
1989-11-01,1991-04-01,17,1.1758185106144057,-0.9727994441075547
1989-11-01,1991-05-01,18,1.1800229816364043,-1.250994204966524
1989-11-01,1991-06-01,19,1.1841905795615688,-0.6835941192351389
1989-11-01,1991-07-01,20,1.1883312863587794,-1.136599701596895
1989-11-01,1991-08-01,21,1.192452437195837,-2.1085998781299944
1989-11-01,1991-09-01,22,1.1965594222708247,-2.447259797606499
1989-11-01,1991-10-01,23,1.2006562025443894,-3.459851754339707
1989-11-01,1991-11-01,24,1.2047456887193624,-3.9914559943904293
1989-11-01,1991-12-01,25,1.2088300197293431,-3.7931949550272703
1989-11-01,1992-01-01,26,1.2118313409148598,-3.7637424648960716
1989-11-01,1992-02-01,27,1.214036825445036,-2.9445823401205002
1989-11-01,1992-03-01,28,1.215657499045822,-2.265985803628291
1989-11-01,1992-04-01,29,1.2168484314166215,-2.4100317335164654
1989-11-01,1992-05-01,30,1.2177235736483023,-2.8422680215235077
1989-11-01,1992-06-01,31,1.218366661320155,-3.8378031174072085
1989-11-01,1992-07-01,32,1.2188392265086667,-4.002735660957742
1989-11-01,1992-08-01,33,1.2191864853151524,-5.127956973419357
1989-11-01,1992-09-01,34,1.2194416642441412,-5.005130149426236
1989-11-01,1992-10-01,35,1.2196291793901468,-3.86325138393396
1989-11-01,1992-11-01,36,1.219766972624568,-2.819974737694884
1989-11-01,1992-12-01,37,1.2198682283143438,-2.808291897806063
1989-11-01,1993-01-01,38,1.218998315921485,-3.5277552373034164
1989-11-01,1993-02-01,39,1.217414909234486,-3.89704534261046
1989-11-01,1993-03-01,40,1.2153073566906103,-3.5448358757673253
1989-11-01,1993-04-01,41,1.2128147986701263,-4.33223877121382
1989-11-01,1993-05-01,42,1.2100394807705919,-2.8886919959686246
1989-11-01,1993-06-01,43,1.207056536905253,-2.946559896224945
1989-11-01,1993-07-01,44,1.2039211782944395,-2.4283531634248683
1989-11-01,1993-08-01,45,1.2006739762088399,-2.706280219410719
1989-11-01,1993-09-01,46,1.1973447439294285,-2.2020302660568634
1989-11-01,1993-10-01,47,1.1939553893587105,-2.0233503467767364
1989-11-01,1993-11-01,48,1.1905220112275536,-2.317425416884381
1989-11-01,1993-12-01,49,1.1870564394673957,-1.7611203193425609
1989-11-01,1994-01-01,50,1.184509806024055,-1.889445607493758
1989-11-01,1994-02-01,51,1.1826384432754027,-1.4298325931567903
1989-11-01,1994-03-01,52,1.1812632950198887,-0.6292201563625335
1989-11-01,1994-04-01,53,1.1802527839759955,0.4525732437996935
1989-11-01,1994-05-01,54,1.1795102221716698,0.6789205212887691
1989-11-01,1994-06-01,55,1.1789645596214424,1.2041510050157664
1989-11-01,1994-07-01,56,1.1785635861038362,0.5191104309769662
1989-11-01,1994-08-01,57,1.178268935569812,0.4700259103935908
1989-11-01,1994-09-01,58,1.1780524151928078,1.1808172388152647
1989-11-01,1994-10-01,59,1.1778933078156117,0.9981575135605179
1989-11-01,1994-11-01,60,1.1777763896861106,2.555430709834532
1989-12-01,1990-01-01,1,0.3842007668950025,0.30612178147216523
1989-12-01,1990-02-01,2,0.6076069122816063,0.8176197562096037
1989-12-01,1990-03-01,3,0.7669179528431844,1.6196512277273807
1989-12-01,1990-04-01,4,0.8777899072963204,2.062556534019971
1989-12-01,1990-05-01,5,0.9547915280352115,1.0081197557124713
1989-12-01,1990-06-01,6,1.0100752099898478,0.3264386515772397
1989-12-01,1990-07-01,7,1.0513698599301402,-0.7588913302971004
1989-12-01,1990-08-01,8,1.08430711467626,-1.2513878714040996
1989-12-01,1990-09-01,9,1.1102621163880748,-0.7408997348118894
1989-12-01,1990-10-01,10,1.1288218800630394,-1.6037078968348606
1989-12-01,1990-11-01,11,1.1412499675153025,-0.9680971898948603
1989-12-01,1990-12-01,12,1.1490696233915665,-1.0266385005860936
1989-12-01,1991-01-01,13,1.1558980542138049,-1.2740079945094738
1989-12-01,1991-02-01,14,1.1619975172432162,-0.7751346268749875
1989-12-01,1991-03-01,15,1.1675609369217566,-0.29771916826951594
1989-12-01,1991-04-01,16,1.1727302343650083,-0.9727994441075547
1989-12-01,1991-05-01,17,1.177609811093514,-1.250994204966524
1989-12-01,1991-06-01,18,1.1822764680748286,-0.6835941192351389
1989-12-01,1991-07-01,19,1.1867867024719474,-1.136599701596895
1989-12-01,1991-08-01,20,1.191182075352928,-2.1085998781299944
1989-12-01,1991-09-01,21,1.1954931603410297,-2.447259797606499
1989-12-01,1991-10-01,22,1.1997424483616068,-3.459851754339707
1989-12-01,1991-11-01,23,1.2039464844620986,-3.9914559943904293
1989-12-01,1991-12-01,24,1.208117439721676,-3.7931949550272703
1989-12-01,1992-01-01,25,1.21118572101691,-3.7637424648960716
1989-12-01,1992-02-01,26,1.2134428418731131,-2.9445823401205002
1989-12-01,1992-03-01,27,1.215103248488185,-2.265985803628291
1989-12-01,1992-04-01,28,1.216324693994657,-2.4100317335164654
1989-12-01,1992-05-01,29,1.217223226385301,-2.8422680215235077
1989-12-01,1992-06-01,30,1.2178842140861503,-3.8378031174072085
1989-12-01,1992-07-01,31,1.2183704567026923,-4.002735660957742
1989-12-01,1992-08-01,32,1.2187281515309587,-5.127956973419357
1989-12-01,1992-09-01,33,1.2189912827041955,-5.005130149426236
1989-12-01,1992-10-01,34,1.2191848499823825,-3.86325138393396
1989-12-01,1992-11-01,35,1.2193272439478096,-2.819974737694884
1989-12-01,1992-12-01,36,1.2194319932710422,-2.808291897806063
1989-12-01,1993-01-01,37,1.2185800197931096,-3.5277552373034164
1989-12-01,1993-02-01,38,1.21702440625473,-3.89704534261046
1989-12-01,1993-03-01,39,1.214951327976499,-3.5448358757673253
1989-12-01,1993-04-01,40,1.2124977411498485,-4.33223877121382
1989-12-01,1993-05-01,41,1.2097643948807917,-2.8886919959686246
1989-12-01,1993-06-01,42,1.2068254032442705,-2.946559896224945
1989-12-01,1993-07-01,43,1.2037352867778894,-2.4283531634248683
1989-12-01,1993-08-01,44,1.200534152418445,-2.706280219410719
1989-12-01,1993-09-01,45,1.197251504020468,-2.2020302660568634
1989-12-01,1993-10-01,46,1.1939090454893317,-2.0233503467767364
1989-12-01,1993-11-01,47,1.1905227428510496,-2.317425416884381
1989-12-01,1993-12-01,48,1.1871043411734146,-1.7611203193425609
1989-12-01,1994-01-01,49,1.1845896611362696,-1.889445607493758
1989-12-01,1994-02-01,50,1.1827397861696771,-1.4298325931567903
1989-12-01,1994-03-01,51,1.1813789619926534,-0.6292201563625335
1989-12-01,1994-04-01,52,1.1803778984212145,0.4525732437996935
1989-12-01,1994-05-01,53,1.1796414856715134,0.6789205212887691
1989-12-01,1994-06-01,54,1.1790997580995641,1.2041510050157664
1989-12-01,1994-07-01,55,1.1787012468538949,0.5191104309769662
1989-12-01,1994-08-01,56,1.178408089885064,0.4700259103935908
1989-12-01,1994-09-01,57,1.178192434720227,1.1808172388152647
1989-12-01,1994-10-01,58,1.1780337922349187,0.9981575135605179
1989-12-01,1994-11-01,59,1.1779170900072495,2.555430709834532
1989-12-01,1994-12-01,60,1.1778312403061655,4.2352787849926585
1990-01-01,1990-02-01,1,0.5505100256878227,0.8176197562096037
1990-01-01,1990-03-01,2,0.7272143893808036,1.6196512277273807
1990-01-01,1990-04-01,3,0.8527886561441234,2.062556534019971
1990-01-01,1990-05-01,4,0.9432831180460274,1.0081197557124713
1990-01-01,1990-06-01,5,1.0113044527292152,0.3264386515772397
1990-01-01,1990-07-01,6,1.0649635078664508,-0.7588913302971004
1990-01-01,1990-08-01,7,1.110472009130603,-1.2513878714040996
1990-01-01,1990-09-01,8,1.1487495658066518,-0.7408997348118894
1990-01-01,1990-10-01,9,1.179501108735316,-1.6037078968348606
1990-01-01,1990-11-01,10,1.2047346774166146,-0.9680971898948603
1990-01-01,1990-12-01,11,1.2263786058316573,-1.0266385005860936
1990-01-01,1991-01-01,12,1.242548415210798,-1.2740079945094738
1990-01-01,1991-02-01,13,1.251358031336079,-0.7751346268749875
1990-01-01,1991-03-01,14,1.2547594629086016,-0.29771916826951594
1990-01-01,1991-04-01,15,1.254187464665908,-0.9727994441075547
1990-01-01,1991-05-01,16,1.2506966019328751,-1.250994204966524
1990-01-01,1991-06-01,17,1.2450619951202506,-0.6835941192351389
1990-01-01,1991-07-01,18,1.2378533684405015,-1.136599701596895
1990-01-01,1991-08-01,19,1.2294894768234352,-2.1085998781299944
1990-01-01,1991-09-01,20,1.2202781105146416,-2.447259797606499
