execution_date,indicator,metric,model,target_col,value
<<<<<<< HEAD
1989-10-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.08272122212027075
1989-10-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.37995952656500354
1989-10-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7347207280639197
1989-10-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,2.1543395220016593e-73
1989-10-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05398819789503563
1989-10-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003551468222752468
1989-10-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6043809008482509
1989-10-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,425.0
1989-11-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07918573192051535
1989-11-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.40126739160043023
1989-11-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7348378909991499
1989-11-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,1.3420819356202e-73
1989-11-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05442336971625689
1989-11-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003370447338875081
1989-11-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.604939678125783
1989-11-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,426.0
1989-12-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.08206243801323236
1989-12-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.382605172163482
1989-12-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7356303542668143
1989-12-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,4.58647712027524e-74
1989-12-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05354224801040721
1989-12-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003702497905072841
1989-12-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6051135698253469
1989-12-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,427.0
1990-01-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.08005992734064572
1990-01-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.3937880980484266
1990-01-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7350149828408952
1990-01-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,4.600202983925848e-74
1990-01-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05410163429467109
1990-01-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003403480834819622
1990-01-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6054597017767286
1990-01-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,428.0
1990-02-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.0822164350923184
1990-02-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.37747661039409264
1990-02-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7341511414112118
1990-02-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,5.92369458828213e-74
1990-02-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.054086582873112486
1990-02-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.0031965929465816167
1990-02-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6055257937337439
1990-02-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,429.0
1990-03-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.08259654002488324
1990-03-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.37830825387424805
1990-03-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7351111195461157
1990-03-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,1.514641831619716e-74
1990-03-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05393811084706469
1990-03-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.0034017886727177194
1990-03-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6051075213583281
1990-03-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,430.0
1990-04-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.08512325090900306
1990-04-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.3616640679762204
1990-04-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7352058519576155
1990-04-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,1.1332937792951587e-74
1990-04-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05373506988912235
1990-04-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003393528856400843
1990-04-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6051098659149279
1990-04-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,431.0
1990-05-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.08225001908827673
1990-05-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.3798965319166112
1990-05-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7348448021273782
1990-05-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,8.539809092593427e-75
1990-05-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.054001602885195066
1990-05-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003415914016249007
1990-05-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6045805853797417
1990-05-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,432.0
1990-06-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.08118164730438263
1990-06-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.38391467165831505
1990-06-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7347374990711768
1990-06-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,7.106588393994792e-75
1990-06-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.053798846665835114
1990-06-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.0032960422760594894
1990-06-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6044679933031135
1990-06-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,433.0
1990-07-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07722976269069178
1990-07-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.40900394731590817
1990-07-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7359090584246991
1990-07-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,3.935358487093228e-75
1990-07-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05369158888376888
1990-07-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003518495639909052
1990-07-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6042568667493324
1990-07-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,434.0
1990-08-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07718766465876527
1990-08-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.40742626193793874
1990-08-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7376355092536562
1990-08-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,1.5296209579890255e-75
1990-08-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.052720897671878604
1990-08-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.003973200711841553
1990-08-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6050760156608409
1990-08-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,435.0
1990-09-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07504132956851385
1990-09-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.420714178880808
1990-09-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7376099481318497
1990-09-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,6.357811562174873e-76
1990-09-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.0531231237727101
1990-09-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.0037715504065637083
1990-09-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6061602548593598
1990-09-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,436.0
1990-10-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07385767696152913
1990-10-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.4304369555320571
1990-10-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7411153698657523
1990-10-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,8.599826597819675e-77
1990-10-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.051584732547205366
1990-10-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.004969344043491888
1990-10-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6066493605603753
1990-10-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,437.0
1990-11-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07360802511088123
1990-11-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.42977382976016687
1990-11-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7409646961196119
1990-11-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,3.2482027942144686e-77
1990-11-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.051683085257858585
1990-11-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.0046846655047352
1990-11-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6079711484596517
1990-11-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,438.0
1990-12-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07376345746640928
1990-12-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.4277824256678475
1990-12-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7426254815569677
1990-12-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,6.403072012016405e-78
1990-12-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05088990275500544
1990-12-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.005144654624697361
1990-12-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6089017998254751
1990-12-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,439.0
1991-01-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07232192468385602
1991-01-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.43526837188246825
1991-01-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7438293995040686
1991-01-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,2.497042269284426e-78
1991-01-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.050456094382347716
1991-01-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.005333837529501656
1991-01-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6100476214134831
1991-01-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,440.0
1991-02-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.07115925553022326
1991-02-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.4437150708524812
1991-02-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7443462588725382
1991-02-01,beta3,p_value,AR(1) + Inflation (UCSV),beta3,6.822738893849066e-79
1991-02-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta3,0.05045119479401816
1991-02-01,inflation,p_value,AR(1) + Inflation (UCSV),beta3,0.00545448777377216
1991-02-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta3,0.6109885088194159
1991-02-01,model,n_obs,AR(1) + Inflation (UCSV),beta3,441.0
1991-03-01,const,coefficient,AR(1) + Inflation (UCSV),beta3,0.06920335387090745
1991-03-01,const,p_value,AR(1) + Inflation (UCSV),beta3,0.4568860816686764
1991-03-01,beta3,coefficient,AR(1) + Inflation (UCSV),beta3,0.7441194512200114
