execution_date,date,residual
1989-10-01,1986-07-01,-1.0460253231933434
1989-10-01,1986-06-01,-0.05003346639283818
1989-10-01,1986-05-01,-0.12011493238385978
1989-10-01,1986-04-01,-0.16682167592159952
1989-10-01,1986-03-01,-0.38217948596532336
1989-10-01,1986-02-01,0.547817582326073
1989-10-01,1986-01-01,-0.6030977378423116
1989-10-01,1985-12-01,-0.922182621157924
1989-10-01,1985-11-01,-0.6718933523035033
1989-10-01,1985-10-01,-0.9252479873358368
1989-10-01,1986-08-01,-1.3266755666199022
1989-10-01,1987-09-01,0.6369031311417617
1989-10-01,1987-10-01,-0.059637409083908244
1989-10-01,1987-11-01,0.435716724163554
1989-10-01,1989-10-01,-1.5811404716740645
1989-10-01,1989-09-01,0.17215104606769027
1989-10-01,1989-08-01,2.2743679648795725
1989-10-01,1989-07-01,-2.0748151367415355
1989-10-01,1989-06-01,-1.0808323683609475
1989-10-01,1989-05-01,-1.0923873131966861
1989-10-01,1989-04-01,-0.0686329378571422
1989-10-01,1989-03-01,0.9131037589305917
1989-10-01,1989-02-01,0.32574619274502714
1989-10-01,1989-01-01,-0.35079730426132705
1989-10-01,1988-12-01,0.9744098902254201
1989-10-01,1988-11-01,0.5116858104464028
1989-10-01,1988-10-01,-0.690028492726571
1989-10-01,1988-09-01,-0.2795880378420371
1989-10-01,1988-08-01,0.34753720942263033
1989-10-01,1988-07-01,0.04352306052557142
1989-10-01,1988-06-01,-0.31317422685231633
1989-10-01,1988-05-01,0.17340877321707993
1989-10-01,1988-04-01,-0.03758394118245073
1989-10-01,1988-03-01,-0.35548315749676396
1989-10-01,1988-02-01,-0.31957637290324326
1989-10-01,1988-01-01,-1.1648014601091832
1989-10-01,1987-12-01,-0.13200743290932415
1989-10-01,1985-09-01,-0.458024006563147
1989-10-01,1985-08-01,0.21644355174281904
1989-10-01,1985-07-01,-0.7635639515410972
1989-10-01,1985-06-01,-0.9003756173565591
1989-10-01,1983-02-01,0.01817068912957942
1989-10-01,1983-01-01,-1.4015787918704237
1989-10-01,1982-12-01,-0.5201947931708812
1989-10-01,1982-11-01,-1.4408799117181832
1989-10-01,1982-10-01,-3.8678930051576694
1989-10-01,1982-09-01,2.9134704414713033
1989-10-01,1982-08-01,1.4224440803021583
1989-10-01,1982-07-01,2.0159969554427164
1989-10-01,1982-06-01,1.0572179337241856
1989-10-01,1982-05-01,1.4433891522793107
1989-10-01,1982-04-01,0.2602473205945377
1989-10-01,1982-03-01,-1.9172123563651944
1989-10-01,1982-02-01,2.170803980704471
1989-10-01,1982-01-01,-2.2850455686721354
1989-10-01,1981-12-01,3.69034261614832
1989-10-01,1981-11-01,-0.7605939848936201
1989-10-01,1981-10-01,-2.6786304785301205
1989-10-01,1981-09-01,3.3109562626949636
1989-10-01,1981-08-01,2.123282745815259
1989-10-01,1981-07-01,3.686244910698072
1989-10-01,1981-06-01,2.199992835527775
1989-10-01,1981-05-01,-1.156898326880821
1989-10-01,1981-04-01,0.5058469217464912
1989-10-01,1983-03-01,-0.3849495277586452
1989-10-01,1972-04-01,-1.1956961342836943
1989-10-01,1983-04-01,-0.689099459155197
1989-10-01,1983-06-01,0.0404255967798412
1989-10-01,1985-05-01,-0.8178465847113692
1989-10-01,1985-04-01,-1.2367737154616696
1989-10-01,1985-03-01,0.2296850944827482
1989-10-01,1985-02-01,0.025673758210722097
1989-10-01,1985-01-01,-0.17976998102169
1989-10-01,1984-12-01,-1.0660636450540955
1989-10-01,1984-11-01,-0.9228214940055925
