Actuals,Predictions
-3.0509278966032514,-2.4079905050702215
-3.3954780975103334,-2.4402057021206693
-2.6481203211840896,-2.4231952473464644
-1.676580335043619,-2.404191098071216
-2.4547808601426233,-2.3958620683558998
-1.0822047483436728,-2.384629659695013
-1.2306761059812925,-2.3627573722192694
-0.234553629406037,-2.441479831944756
-0.37491270677947264,-2.406718267525038
-0.35734574592646057,-2.4270308448732085
-0.4566661858878621,-2.4233990509719803
-0.0027700927372480144,-2.474826273663419
-0.007018225121785668,-2.4499199004161616
0.026717086388417854,-2.385532992522941
0.21253743563224886,-2.4286452833205137
0.36705466264196557,-2.3779002830612708
0.03240039571801105,-2.3784085375091455
0.19365457075168682,-2.3721816814307406
0.14941358859996667,-2.421319288874619
-0.1479969086799794,-2.381151094561537
-0.042478992592406714,-2.3890663186370706
-0.07855561463912301,-2.4245998790189547
0.4277236977654464,-2.3666928547319213
0.3846291060371683,-2.4377685965004674
-0.3371580781351156,-2.368107818737096
0.4732522782230693,-2.4327162803940396
-0.3066333962022392,-2.4264413105872213
-0.009060224657253431,-2.3534978352094953
0.7515332332813793,-2.467592990902377
0.6960492627203922,-2.429509588221247
-0.987116973002859,-2.224117922520125
-0.3786870207928605,-2.3309939367312653
-3.7167347047714756,-2.251674865940014
0.20856533476979355,-2.218269457981009
-2.6601401704069185,-2.2583694485848
-1.0617597230810778,-2.353193284661524
-0.3420663504547476,-2.1836930476120235
-1.3931788101298808,-2.2354638833685954
0.6948229372608493,-2.1880951393420145
0.33443911961829925,-2.168184924172222
-2.4183519802635636,-2.1746751921323044
-0.7190792343337685,-2.174292196948655
-2.2392930580482684,-2.185022190641592
-3.005553374157733,-2.1733597238494116
-3.6448754937152907,-2.190075447222136
-3.5514894622190356,-2.162530196375174
-3.1057805015352957,-2.1796430841818686
-3.6890670842567346,-2.1941317006300665
-4.508675659394366,-2.121444560406442
-3.092962508588278,-2.1061369724319006
-2.818679161843078,-2.111989696033167
-3.2171904553863797,-2.099487875608568
-3.139439911177128,-2.0903616030254546
-3.3445131874025145,-2.087109409512288
-3.5889722599680622,-2.1052293770906507
-3.8822139855372417,-2.1168811277945654
-4.6875339998858205,-2.0875327381619133
-5.043557898559811,-2.046650488410981
-4.768750830160618,-2.135807578426115
-3.496824256789613,-2.0400649030649234
-5.724013135330812,-1.998484883859199
-5.339046140117779,-1.9425524289552454
-3.544012593594692,-1.9691568493820382
-4.5790409503906115,-1.93517263556294
-4.000232105238769,-1.9400720316746598
-3.668959818353206,-2.0711044469824893
-3.39826189690849,-2.372824942455294
-2.9262535603310247,-2.3944022864143775
-4.709848421647321,-2.1583633685977897
-2.380618783165899,-2.4219350679985334
-5.164401422732723,-2.247840166019099
-2.0155687696025715,-2.4742490732311375
-3.222646841838572,-2.4722022698021617
-4.456455576432772,-2.447831511951286
-2.967832315219982,-2.5095553057359368
-2.646081146986724,-2.5337262723750693
-3.498288979294905,-2.43958888450261
-4.0167292046068015,-2.437511320886169
-5.021842881955485,-2.427667689376519
-4.713482447759677,-2.450890656744314
-5.09569212463453,-2.4467781967426148
-4.121993023955489,-2.5086830623542022
-4.649188552629088,-2.5062707422118535
-3.7176259322056175,-2.542951574852053
-4.6625835742597355,-2.4711547380196834
-4.532801142155202,-2.500064936662422
-3.42826180687458,-2.5024090528257705
-3.9922502299350153,-2.4731939644572742
-4.329708498682799,-2.4795010144394345
-4.084962073128809,-2.521170525780898
-4.323098676182132,-2.498260010348298
-3.7750078574110915,-2.4116499280713124
-4.303149284486394,-2.4720435698669987
-4.153135548409862,-2.295973624290766
-4.304254491066673,-2.3428368171912135
-3.6172544100315336,-2.2894798262726375
-4.009723221902285,-2.3170192427955563
-4.691131588629346,-2.448668472112946
-4.120908065028426,-2.323750366509868
-4.3963575878591445,-2.403586484822149
-4.333758833654635,-2.3839508557956535
-4.460932583715236,-2.422355936533327
-4.035451987805614,-2.313502160893661
-4.86282560280383,-2.452449816249359
-4.655581502437906,-2.4798888532349643
-4.35904541802488,-2.4664911619711907
-4.081588469408327,-2.4668849747437656
-3.778841645753525,-2.430434536991914
-3.8167168061139383,-2.4022222402430025
-3.66337143304613,-2.4405490089879898
-2.8077489067765216,-2.455532730469004
-3.210762611816944,-2.446055971498524
-3.4272768666315416,-2.4364545287959882
-1.396469774288714,-2.5132107953565828
-1.5584467876719788,-2.5294603980288364
-2.1567610626309093,-2.477241919745315
-2.682133826242545,-2.4315837946150367
-1.1509834415644895,-2.5360899746543475
-1.996239051304079,-2.500005773516449
-1.3909205406553509,-2.54612360635011
-1.9775920798361257,-2.6071564289162645
-2.970538045073837,-2.652061475683856
-2.793614507519152,-2.626774431553083
-2.3373510654775536,-2.639205500242809
-2.55560328306362,-2.6320636206388173
-2.0616597514640116,-2.804645754868087
-2.6659459281395703,-2.726110045810539
-2.4163774636893107,-2.652907058147786
-1.8770247888591491,-2.8258185951576196
-2.613632272016799,-2.7567783621906927
-2.4077517350807565,-2.786655196325757
-1.3299475253052466,-2.826557837296378
-1.74584467164415,-2.809761846108073
-1.5634147152430584,-2.8372831300634758
-1.9627710609253706,-2.81624173519822
-1.4136044309695222,-2.814115127896335
-1.550517417876736,-2.8250169110508896
-1.9145705628981193,-2.795242932632834
-2.9143782840743246,-2.7982432028052417
-2.723711064694842,-2.829541186502541
-2.8850672174695613,-2.8794473005670356
-3.114579777896661,-2.887757112259696
-3.0442833006508745,-2.6823078706401224
-3.076651272842757,-2.6969945008114644
-3.2104369132718973,-2.6880178104122354
-2.7320654562152598,-2.74933870967152
-3.1450480575572612,-2.6872824262351274
-2.628654068745248,-2.68573626343002
-2.680099446476065,-2.792017455004987
-2.864698936873609,-2.7329159758032606
-2.5499245961680876,-2.722197409924562
-2.658669574187525,-2.6669622619681896
-2.6541285367581224,-2.6790629822333054
-3.040420541163771,-2.6829789551601437
-2.82359517329234,-2.67072714459404
-2.7806521176369943,-2.6854749830294
-2.937464822517507,-2.654337392146833
-2.6284637238967,-2.587796091339119
-1.6946863790864737,-2.537829068270767
-2.436225960601348,-2.586560973411841
-2.8576934291341862,-2.6089706883132147
-1.8267828512100799,-2.543894221228778
-1.9602020545982053,-2.557545648174434
-2.6188107733029162,-2.588695466998692
-2.311424660223084,-2.562845079641432
-1.9416350354346381,-2.5537057882982444
-1.8445085052371801,-2.5710868658404564
-2.566560926879847,-2.5781686114680094
-1.6670210064666906,-2.5500057483277883
-1.7018584647913666,-2.5483605929507833
-1.441649941555019,-2.57800739643445
-1.0958219487199623,-2.581820189546182
-0.9848733959331271,-2.5845426740582518
-0.9184164088530676,-2.56888358543627
-0.8550521815081611,-2.5634239565052312
-1.0233409812894125,-2.5467062911625495
-0.902387658077544,-2.537186209240508
-0.9277805249812738,-2.48980766214783
-0.9380219726681114,-2.5429196150989637
-0.9038693314870546,-2.535657102769502
-0.8346343943562534,-2.5347269478240886
-0.9634472771369079,-2.50729330818688
-0.6455659379486814,-2.532578588220057
-0.9388655766372109,-2.4964272811165724
