horizon,mse,r_squared,rmse
1,0.22674755418313575,0.9813480873486804,0.4761801698759995
2,0.5269053533414462,0.9566952372319463,0.7258824652389987
3,0.8219090015757445,0.932515280542139,0.9065919708312801
4,1.1072431527721633,0.9091822348357785,1.0522562201156918
5,1.3886257584129984,0.8862233409424893,1.1783996598832667
6,1.6811036451012098,0.8624083394308382,1.2965738101246722
7,1.9126355868795577,0.8436352126510211,1.3829806892648782
8,2.105906005392526,0.8280254082021539,1.4511740093429617
9,2.359239250051161,0.8075509551698861,1.535981526598273
10,2.6781405861332637,0.7817791287987028,1.6365025469376036
11,3.041234825603196,0.7524680496775107,1.743913651991748
12,3.4499367749732253,0.7195132716782694,1.8574005424176083
13,3.8064488734538635,0.6908835844876049,1.951012268914233
14,4.14738559885365,0.6635780888016567,2.036513098129656
15,4.545647893736532,0.6317046022259164,2.1320525072653655
16,4.900366858528281,0.6034381075509818,2.2136772254618062
17,5.262020232546057,0.5746807298613972,2.2939093775792574
18,5.651609550408729,0.5437196873121921,2.377311412164744
19,6.099634822226108,0.5080958627074222,2.4697438778598295
20,6.577945727189248,0.4700210493903644,2.564750616958547
21,6.950314291453225,0.44030815981399185,2.636344873390662
22,7.223623447784202,0.4185266812055263,2.6876799377500666
23,7.466792211779542,0.39910432584750977,2.7325431765627313
24,7.710820422748975,0.37954189843162045,2.7768364054709767
25,7.954087499780774,0.3599968153649781,2.820299186217798
26,8.196968149066203,0.3405454265006348,2.8630347795767697
27,8.406715618868278,0.3240958528324188,2.8994336720932723
28,8.689478074412065,0.302016955519261,2.9477920677028875
29,9.030669978561226,0.27533465241549404,3.0051073156480164
30,9.359672479422613,0.24968926107774325,3.059358180962571
31,9.657527910224355,0.22661994808618502,3.1076563372136814
32,9.893464164924357,0.20856107505337573,3.145387760662325
33,10.147379201863375,0.1890918818648074,3.1854951266425404
34,10.371051075607014,0.17210246627710912,3.2204116313923308
35,10.56925706663051,0.15721523303822327,3.251039382509924
36,10.728937620716032,0.14541780701241636,3.275505704576933
37,10.8799634337894,0.13439531418783146,3.2984789576090066
38,11.049717839635907,0.12192361969247767,3.324111586519909
39,11.196725574891394,0.11131416901681679,3.3461508595536147
40,11.33792843621771,0.10124261300672943,3.367184051431954
41,11.455900173242176,0.09303831876067081,3.3846565812859324
42,11.584114634681098,0.0840484853670963,3.4035444223164033
43,11.730137692917495,0.0736684045179935,3.424928859541099
44,11.90183646693909,0.0612981854550777,3.449903834448011
45,12.079703684266281,0.04847651116189988,3.4755868114990713
46,12.26461858307289,0.035067768473967975,3.5020877463411577
47,12.441735825513659,0.022296970937610294,3.5272844832127817
48,12.567326992483984,0.013613633669604996,3.5450425938885397
49,12.682479558240864,0.0055441337690502746,3.5612469105975877
50,12.762393224127978,0.00020867749943254132,3.572449191259125
51,12.81803528482702,-0.0032272763393925707,3.580228384450777
52,12.870268491999354,-0.006319601749908976,3.5875156434501236
53,12.93981695785308,-0.010825089131611287,3.5971957074717356
54,13.054914050578926,-0.018852140338439405,3.6131584591018044
55,13.256044328535218,-0.033624212598899694,3.6408851023528905
56,13.4756887896313,-0.04981841165866485,3.6709247867031136
57,13.691749898434596,-0.06563213525919753,3.7002364652052435
58,13.880940797257889,-0.07933335926998564,3.7257134615074587
59,14.03051220119083,-0.08996102047349508,3.745732531987679
60,14.225277645737364,-0.10406906086675738,3.7716412403272614
