execution_date,indicator,metric,model,target_col,value
1956-06-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.6461001531267573
1956-06-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,3.5808971921758996e-05
1956-06-01,beta1,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.5995241949013228
1956-06-01,beta1,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,5.617609958073755e-08
1956-06-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.10967369476322986
1956-06-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,1.615580531383755e-05
1956-06-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta1,0.9510740679579774
1956-06-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta1,34.0
1956-07-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta1,35.0
1956-07-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta1,0.9539680728771965
1956-07-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,6.6817548827143145e-06
1956-07-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.106720498768228
1956-07-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,1.4490470171922097e-05
1956-07-01,beta1,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.5985671637784251
1956-07-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.6268347500078465
1956-07-01,beta1,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,1.083739623417033e-08
1956-08-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta1,0.948616201514016
1956-08-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta1,36.0
1956-08-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.07577183881272459
1956-08-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,3.573629811239848e-05
1956-08-01,beta1,coefficient,AR(1) + Output Gap (Direct) - MRM,beta1,0.6764351504883359
1956-08-01,beta1,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,2.4936228759840023e-10
1956-08-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta1,0.0002714850029971761
