Actuals,Predictions
-1.2855923991868068,-2.5517634220492766
-0.12127495195041899,-2.540168284772057
-2.460876714137138,-2.5490168862977436
-2.000685307493592,-2.3874896621692816
-1.0351788511273798,-2.5968525511193854
-0.9868687323363241,-2.783552626722255
-0.9263811777589045,-2.6092854822058644
0.24611415082364163,-2.557858112457924
-1.7805932800508917,-2.548360027711173
-2.807615015902785,-2.3781402313535853
-0.5527774066560471,-2.4526266407302817
0.6048973939862647,-2.446297848562532
-0.6747107919500426,-2.4290969789896786
-0.8165213050332795,-2.648999074449924
-1.2450502354834418,-2.3224509225477687
0.3688894096011647,-2.4151440723884026
-1.7800962303896906,-2.04957135794847
-2.665740388999816,-1.9853358001782884
-2.4661021402040886,-2.2571352189377594
-2.974648618456755,-1.9761745772794517
-2.691750829628417,-2.1205842471282175
-3.0121085611742795,-1.8555428895904804
-2.204706859197849,-2.148744479343542
-3.466183426509606,-1.8603791296210805
-2.214961734062228,-2.11261058258459
-3.088098818759864,-1.951820181785431
-0.4431032423421801,-2.163668914533887
-4.29584439900735,-1.939543385498216
-1.442557522885631,-2.131348680445936
-2.9952085795548666,-2.0867041668092385
-4.365117154625673,-1.8391287131690104
-1.63572736155239,-2.1613600954454544
-4.408680651069137,-2.3541109842278356
-1.2053878215301177,-2.0485347612271685
-2.7631165082130114,-2.182037890568018
-2.6281265916369554,-2.0691412207151965
-1.6878474289302288,-2.0531336212777225
-4.061391553314647,-2.315234598532814
-4.546992652296845,-2.3882325925710237
-3.5273365242356314,-2.3127815457855823
-0.7032506994737011,-2.0986104081434407
-4.654010544356206,-2.060515058127394
-4.706442363339431,-2.0381448558290423
-3.7609321285528177,-2.196393414083693
-4.718176216339897,-1.943342935343948
-4.668491578803069,-1.9912511797788637
-4.972539113283434,-2.1248302195555726
-4.522451248065245,-2.2211505496249284
-3.1073789779556193,-2.3889632549514075
-2.715851340856332,-2.314956520646345
-3.463155367470153,-2.5146647401587203
-4.379205335342607,-2.4932358004270068
