ExecutionDate,mse,r_squared,rmse
1956-06-01,1.1063594735394922,-0.6151851401048622,1.0518362389362197
1956-07-01,1.4735254145758603,-1.1470476167362862,1.213888551134683
1956-08-01,0.8506003786010848,-0.2353399807712646,0.9222799892663208
1956-09-01,0.8838065600747046,-0.2761569864185589,0.9401098659596678
1956-10-01,1.1099712347435902,-0.5956996365723515,1.0535517238102694
1956-11-01,1.911217324413141,-1.7467895167349479,1.382467838473337
1956-12-01,7.952424655064386,-10.489955097289176,2.8200043714619283
1957-01-01,2.653473727007994,-2.847238134143034,1.6289486569588356
1957-02-01,2.267998563944895,-2.29996900385704,1.5059875709795534
1957-03-01,1.9071172259407732,-1.7843705942110244,1.380984151227223
1957-04-01,1.7824744719700307,-1.6117190620568906,1.3350934319252832
1957-05-01,1.5135238517814713,-1.2249935357227035,1.2302535721474135
1957-06-01,3.8204211936279764,-4.660155823452257,1.9545897763029398
1957-07-01,2.168909658404707,-2.230780964281116,1.4727218537132893
1957-08-01,5.3989469793254505,-7.14983770292452,2.323563422703467
1957-09-01,9.059870782848394,-12.959161307958004,3.009961923820365
1957-10-01,8.532246377483823,-12.448762800939273,2.921000920486644
1957-11-01,2.247837707154225,-2.5804796095482523,1.4992790624677665
1957-12-01,0.9932857194603065,-0.586772099612616,0.9966372055368525
1958-01-01,0.724901266435315,-0.1573824473359131,0.8514113379767239
1958-02-01,1.8443312028399539,-2.0562190921242434,1.358061560769597
1958-03-01,2.386784708436714,-3.188802070669352,1.5449222337828898
1958-04-01,3.1746951140711532,-5.076352818455335,1.7817674130119097
1958-05-01,4.173085613137219,-8.040128497717612,2.042813161583119
1958-06-01,4.926206275662013,-11.605464977803923,2.2195058629483304
1958-07-01,4.158819111343893,-11.623910754420669,2.0393182957409794
1958-08-01,1.627618097477105,-4.220783863351966,1.2757813674282539
1958-09-01,0.7850028944521025,-1.5127607403591399,0.8860038907657812
1958-10-01,0.6439828995897063,-1.0336717430823334,0.8024854513258831
1958-11-01,0.6386305415368426,-0.9883180857393015,0.7991436301046531
1958-12-01,0.5521870993012908,-0.6908188617448168,0.7430929277696638
1959-01-01,0.537173170952904,-0.6203056181389537,0.7329209854772232
1959-02-01,0.5956632181156266,-0.7616942409220697,0.7717922117484903
1959-03-01,0.5314465700728288,-0.5484960707842901,0.7290038203417242
1959-04-01,0.43930157748289106,-0.2654137510935246,0.6627982932106049
1959-05-01,0.4851767812973265,-0.38022201086733,0.6965463238703701
1959-06-01,0.3607951145450407,-0.017018278801796738,0.6006622299970598
1959-07-01,0.35819521173933677,-0.003180869503714767,0.5984941200541044
1959-08-01,0.39874459160570164,-0.1136148535257604,0.631462264593619
1959-09-01,2.237638802287619,-5.546750107168512,1.4958739259334721
1959-10-01,2.0749432200653852,-5.364766120417293,1.440466320350943
1959-11-01,2.5885237678240327,-7.235585758291535,1.6088889855499766
1959-12-01,7.002444725412391,-23.484689453632058,2.6462132804088925
1960-01-01,4.438392361927347,-15.776727733302451,2.106749240400325
1960-02-01,1.3278694861081455,-4.028404771204938,1.1523321943381368
1960-03-01,0.4039997512449672,-0.4571063291207187,0.635609747600654
1960-04-01,0.41292776515383595,-0.42209942259476074,0.6425945573640006
1960-05-01,0.44391027822098894,-0.47114093047331984,0.6662659215515896
1960-06-01,0.6692272027513196,-1.1697397298400856,0.818063079934133
1960-07-01,0.7738174075738252,-1.4815084042990092,0.8796689192951092
1960-08-01,0.835246646991419,-1.644230384479071,0.9139182933891952
1960-09-01,0.7633467895133991,-1.3331712959824342,0.8736971955508379
1960-10-01,0.9315983887796637,-1.7941458755791597,0.9651934462995818
1960-11-01,0.9414365968293258,-1.7558428235569004,0.9702765568791847
1960-12-01,1.124728032959747,-2.139034382373774,1.060531957538172
1961-01-01,1.2307562165840318,-2.273216104938553,1.1093945270209475
1961-02-01,1.1765631322835963,-1.9497062016826439,1.0846949489527442
1961-03-01,1.2727829626829832,-2.083299108932,1.1281768313003875
1961-04-01,1.429667176555928,-2.353335585438985,1.1956869057390935
1961-05-01,1.506198761572747,-2.4465769729184124,1.2272728961289527
1961-06-01,1.5805681645207892,-2.570131909143294,1.2572064923952586
1961-07-01,1.798264955242718,-3.002195301794436,1.3409940176013904
1961-08-01,1.7720368190310236,-2.740010720286895,1.3311787329397295
1961-09-01,2.0251997895329623,-3.0241517161794116,1.4230951442306878
1961-10-01,2.126922459121974,-3.0662873700374105,1.458397222680424
1961-11-01,2.0673753069764915,-2.8190607629769193,1.4378370237883331
1961-12-01,2.0217260919042412,-2.7091787500453295,1.421874147702335
1962-01-01,1.9458179877194373,-2.6003316403575676,1.394925800076634
1962-02-01,1.9895850330817992,-2.71217489306091,1.4105265091737196
1962-03-01,2.0281404257075737,-2.900757877648908,1.4241279527161783
1962-04-01,2.037944655072674,-3.056954226074536,1.4275659897436175
1962-05-01,2.0873014481802303,-3.311064297144873,1.444749614355453
1962-06-01,1.8851200874761578,-2.9915569835856375,1.372996754357474
1962-07-01,1.9275635422456954,-3.180629718525016,1.3883672216836924
1962-08-01,2.0414228334155387,-3.533882312372741,1.4287836902119013
1962-09-01,2.196659333043043,-4.046018912878105,1.4821131309866473
1962-10-01,2.30317720734802,-4.470728025311092,1.5176222215518655
1962-11-01,2.2231041587671947,-4.278663976393816,1.4910077661659562
1962-12-01,2.240910928191224,-4.286986834912488,1.4969672435264654
1963-01-01,2.3212926125493754,-4.565258744933154,1.5235788829428476
1963-02-01,2.4392381997541697,-4.937763488255015,1.5618060698288279
1963-03-01,2.5024543661010488,-5.131689511927599,1.5819147783939085
