execution_date,mse,r_squared,rmse
1956-09-01,4.691179265486481,-6.186748475830988,2.1659130327615834
1956-10-01,4.298919523742327,-5.606385080528842,2.073383593005001
1956-11-01,3.818292861471579,-4.903475431723892,1.9540452557378447
1956-12-01,3.69807458958409,-4.817152795900336,1.9230378544334716
1957-01-01,2.9910870885002057,-3.76429691909847,1.7294759577687704
1957-02-01,3.601325303042304,-4.87297524198812,1.897715811980894
1957-03-01,3.4531263036192508,-4.753806584469156,1.8582589441784616
1957-04-01,3.010437535270389,-4.134595463813021,1.7350612482763796
1957-05-01,3.254123507421101,-4.616396983444437,1.803918930390471
1957-06-01,3.2217112426544,-4.650355866411751,1.7949126002829219
1957-07-01,3.2263419864671214,-4.738922574951139,1.7962021006743984
1957-08-01,3.031648015016968,-4.556371759901171,1.7411628341476186
1957-09-01,3.4435584502185526,-5.573315382428115,1.8556827450344395
1957-10-01,3.0343588921010842,-5.005706506622653,1.7419411276220227
1957-11-01,2.527614411245499,-4.13977677688992,1.589847291800536
1957-12-01,2.704278604658813,-4.757395181719895,1.6444690950756153
1958-01-01,1.5007277948063986,-2.2236196973768423,1.225041956345332
1958-02-01,83.87980774738907,-180.81755473003938,9.158592017738812
1958-03-01,124.97195200037457,-275.06209382883407,11.179085472451428
1958-04-01,1032.544203644226,-2386.4536392899954,32.133225851822374
1958-05-01,991.4696769052458,-2475.568996871945,31.48761148301417
1958-06-01,769.7178299185528,-2171.13633719143,27.743789033197192
1958-07-01,69.29566079959758,-218.95139827948103,8.324401528013746
1958-08-01,0.7121922401579207,-1.3122117818664285,0.8439148299194182
1958-09-01,0.48013137844784326,-0.5528033341833603,0.6929151307684392
1958-10-01,0.5692860447850013,-0.8292228916782376,0.7545104669817386
1958-11-01,0.5895731948988495,-0.8666247101949573,0.7678366980672711
1958-12-01,0.6361923345561532,-0.9833634880981168,0.797616658900849
1959-01-01,0.48362194333048564,-0.4929309463553122,0.695429323030375
1959-02-01,0.5285075933813352,-0.6057945825019115,0.7269852772796264
1959-03-01,0.7850728854712271,-1.360136769365972,0.8860433880297438
1959-04-01,0.7689953796706473,-1.298476234448665,0.8769238163436134
1959-05-01,0.7758814113559672,-1.2987740260531457,0.8808413088382988
1959-06-01,0.9757433215331712,-1.8908736649655165,0.987797206684232
1959-07-01,1.0604494126127546,-2.193543637912215,1.029781245028649
1959-08-01,1.2189115533445787,-2.7367989172949243,1.104043275123117
1959-09-01,2.7240317979362945,-7.91605956287221,1.6504641159190026
1959-10-01,2.375551521266452,-7.331645197480967,1.5412824274825339
1959-11-01,2.297692895278656,-7.537170236321463,1.5158142680680426
1959-12-01,4.32377545933779,-17.343568017723147,2.0793690050921194
1960-01-01,2.455516965277147,-10.451112557932538,1.567008923164494
1960-02-01,1.8803204208900361,-8.122476259703987,1.3712477605779476
1960-03-01,0.7171505395692003,-2.3605518586336194,0.8468474122114328
1960-04-01,0.6672565906984431,-2.0153336265550017,0.816857754262297
1960-05-01,0.608615856324888,-1.6959558076613241,0.7801383571680655
1960-06-01,0.15902441790639316,0.3131570389208248,0.39877865778698984
1960-07-01,0.1615210325547345,0.32262793377914334,0.401896793411859
1960-08-01,0.1565067478428776,0.36241710470814104,0.39560933740607995
1960-09-01,0.19075917580402948,0.26334645526107614,0.4367598605687449
1960-10-01,0.14065092850311373,0.46970753690592726,0.375034569744062
1960-11-01,0.12315199122832528,0.546408774662845,0.35093017999072873
1960-12-01,0.1382626694433441,0.5265365908823224,0.37183688553362226
1961-01-01,0.15662074641468623,0.4847234476819592,0.3957533909073758
1961-02-01,0.17053793255805846,0.44899230440315074,0.4129623863720018
1961-03-01,0.20314930185491703,0.3697976230778762,0.45072086911404163
1961-04-01,0.20192656971100062,0.38903335652660653,0.44936240353527646
1961-05-01,0.21178422331136532,0.3827067020044205,0.4602001991648475
1961-06-01,0.23885551775654396,0.31123986284101957,0.4887284703764903
1961-07-01,0.2541324280049592,0.2645325059887932,0.5041154907409207
1961-08-01,0.30204404836711973,0.1539864351862139,0.5495853422054847
1961-09-01,0.3408873343777487,0.11266562986341067,0.5838555766435298
1961-10-01,0.4068423295079498,-0.008019559531559528,0.6378419314437942
1961-11-01,0.40311618467998295,0.01869648015118308,0.6349143128643289
1961-12-01,0.447473030194533,-0.07241047348324892,0.6689342495302009
1962-01-01,0.4796528907584774,-0.16136448259069125,0.6925697732059041
1962-02-01,0.4661302802316236,-0.15044203381017107,0.6827373435162483
1962-03-01,0.4723758475384433,-0.20573851861283932,0.6872960406829384
1962-04-01,0.4731697024469846,-0.22260247761826446,0.6878733186037852
1962-05-01,0.5679981776280518,-0.5011804164973261,0.7536565382374466
1962-06-01,0.48811443940365423,-0.32359105033411084,0.6986518728262697
1962-07-01,0.46860455526757644,-0.3062140818518386,0.6845469708263827
1962-08-01,0.5361136144619897,-0.5543534051132271,0.7321977973621538
1962-09-01,0.584170548486459,-0.7939282835701849,0.7643105052833299
1962-10-01,0.6670769676308725,-1.1828178091670658,0.8167477992813158
1962-11-01,0.58880710583424,-1.0326421340087175,0.7673376739312622
1962-12-01,0.507716915321737,-0.8183009018941183,0.7125425708838293
1963-01-01,0.5427393424893641,-1.0456850995439968,0.7367084514849576
1963-02-01,0.6246460690653323,-1.533433394538617,0.7903455377651805
1963-03-01,0.6376946711129613,-1.786201041891165,0.7985578696080587
1963-04-01,0.6552207503623145,-2.005327132351521,0.8094570713523445
1963-05-01,0.5845676460802522,-1.8099362724987937,0.7645702361982529
1963-06-01,0.637281702015421,-2.271665454672439,0.7982992559281394
1963-07-01,0.5034211585049599,-1.6310787259108617,0.7095217815578039
1963-08-01,0.4622445923700099,-1.456902882779994,0.6798857200809633
1963-09-01,0.4950266950297821,-1.703462530772423,0.703581335049319
1963-10-01,0.4754104374544858,-1.6509199691877643,0.6895001359350742
1963-11-01,0.4385431474634129,-1.4725475454461074,0.6622259036487571
1963-12-01,0.4294252557441823,-1.3613010201417328,0.6553054675067058
1964-01-01,0.48186100267258597,-1.6532239903189914,0.6941620867438569
1964-02-01,0.43444123972757703,-1.3691057610870296,0.6591215667292165
1964-03-01,0.44530225144809826,-1.4617002947950155,0.6673097117891349
1964-04-01,0.5366667139768769,-2.037434045407756,0.7325753981515328
1964-05-01,0.4934150265744202,-1.8512631903033299,0.7024350692942517
1964-06-01,0.5512813536417482,-1.9822009792978488,0.7424832345863092
1964-07-01,0.7824150022882769,-2.670756688177769,0.8845422557957742
1964-08-01,0.7195703886536121,-2.1627350463363424,0.8482749487363234
1964-09-01,0.661238312608687,-1.8873370834911976,0.8131656120426435
1964-10-01,0.7393724983552578,-2.1033811567132044,0.8598677214288589
1964-11-01,0.5483711296309363,-1.1306760999344263,0.7405208502337637
1964-12-01,0.7042366808398086,-1.6106721295190196,0.8391881081377456
1965-01-01,0.7184438611204943,-1.6296546840800312,0.8476106777999521
1965-02-01,0.660395988194619,-1.4212394731939986,0.8126475178049946
1965-03-01,0.6464160275566805,-1.3481889975330739,0.8040000171372389
1965-04-01,0.6380837002291684,-1.2989873835293655,0.7988014147641255
1965-05-01,0.6704266931354141,-1.3723101739440806,0.8187958800185882
1965-06-01,0.7420720255182184,-1.5733174137935428,0.8614360252033916
1965-07-01,0.7494630078180072,-1.5254866104982172,0.8657153156887125
1965-08-01,0.6273385314620601,-0.9733147322011142,0.7920470512930782
1965-09-01,0.5406000223386979,-0.5340395524144739,0.7352550729771933
1965-10-01,0.6315380550331571,-0.5691453844790715,0.7946936862924967
1965-11-01,0.6549044854970401,-0.35277249728016424,0.8092616916035504
1965-12-01,0.5444504545461669,0.03201708433565342,0.7378688599921851
1966-01-01,0.6567654013610756,0.04705299634552029,0.8104106374925465
1966-02-01,0.9256508586096197,-0.013397234072075825,0.9621075088625074
1966-03-01,0.9480213713652307,0.059667833012942206,0.9736638903467821
1966-04-01,0.992733214865457,0.07518304361745654,0.9963599825692805
1966-05-01,1.035972852914998,0.08247004887367837,1.017827516288982
1966-06-01,1.0652602722083178,0.06222671577069361,1.0321144666209838
1966-07-01,1.0595402644909158,0.07533184956004046,1.0293397225847818
1966-08-01,1.1573430344173457,0.008250317449588485,1.075798789001617
1966-09-01,1.4882199515978416,-0.29083339119893004,1.219926207439549
1966-10-01,1.5233182133721732,-0.30257818838482664,1.2342277801816701
1966-11-01,1.3194493304380341,-0.1062278329745927,1.1486728561422674
1966-12-01,1.4667532496902829,-0.18451103286732207,1.2110958879008231
1967-01-01,1.4172131207574346,-0.06572773500210993,1.1904676059252661
1967-02-01,1.4909687296632905,-0.058447451728376176,1.2210523042291392
1967-03-01,1.491240576025308,-0.038515424974151724,1.22116361558364
1967-04-01,1.7070089978483651,-0.140678468021866,1.3065255442770207
1967-05-01,1.8696604234303535,-0.2121486606475278,1.3673552659899157
1967-06-01,1.6869877755774154,-0.0787615056581299,1.2988409354410628
1967-07-01,1.7101088585530106,-0.0686626225135043,1.3077113055078367
1967-08-01,1.7011506854135208,-0.05393845703830946,1.304281674107829
1967-09-01,1.7269231256637143,-0.06364803630402815,1.3141244711456044
1967-10-01,1.7383417026257533,-0.06481912245226362,1.3184618699931194
1967-11-01,1.7551939798462917,-0.07394385925338298,1.3248373409012488
1967-12-01,1.7304808515970682,-0.06434304263802204,1.3154774234463578
1968-01-01,1.7368803999923963,-0.07065973212992493,1.3179075840105012
1968-02-01,1.715942772212169,-0.06006338324867766,1.309939988019363
1968-03-01,1.7595513597486483,-0.07341061066477961,1.3264808177085141
1968-04-01,1.7570376184502972,-0.07828833111424371,1.3255329563802996
1968-05-01,1.7475474221027822,-0.07004651898157488,1.3219483432051278
1968-06-01,1.8155826537874873,-0.07922870960376094,1.3474355842812997
1968-07-01,1.9129062973976851,-0.0612646470423841,1.3830785579270923
1968-08-01,1.9666237506895186,-0.02445926254989428,1.402363629979585
1968-09-01,1.9987214489195042,-0.025290136059416657,1.4137614540365373
1968-10-01,2.0246316433689597,-0.02311309870219702,1.4228955138621247
1968-11-01,2.0551496233677593,-0.019154732593402723,1.4335793048756527
1968-12-01,2.1616343123101784,-0.06555755455837775,1.4702497448767602
1969-01-01,2.130413540393456,-0.049358656412672675,1.4595936216609937
