ExecutionDate,ForecastDate,Horizon,RMSE_Row
1956-11-01,1961-04-01,53,2.807981941016588
1956-11-01,1961-05-01,54,2.744368889656792
1956-11-01,1961-06-01,55,2.737811866796622
1956-11-01,1961-07-01,56,3.0115566008651644
1956-11-01,1961-08-01,57,2.967593448054219
1956-11-01,1961-09-01,58,2.936210794607816
1956-11-01,1961-10-01,59,2.882435776139607
1956-11-01,1961-11-01,60,2.8404841529756313
1956-06-01,1956-07-01,1,0.2761109529290497
1956-06-01,1956-08-01,2,0.09620645452006882
1956-06-01,1956-09-01,3,0.23810926357980775
1956-06-01,1956-10-01,4,0.3170628352760685
1956-06-01,1956-11-01,5,0.43147698180662525
1956-06-01,1956-12-01,6,0.807718501610247
1956-06-01,1957-01-01,7,0.8111609226053287
1956-06-01,1957-02-01,8,1.2507757555275878
1956-06-01,1957-03-01,9,1.466940954893749
1956-06-01,1957-04-01,10,1.7619009190599662
1956-06-01,1957-05-01,11,1.9493601367190838
1956-06-01,1957-06-01,12,2.357642804783027
1956-06-01,1957-07-01,13,2.8013288458980643
1956-06-01,1957-08-01,14,3.6291765990727685
1956-06-01,1957-09-01,15,4.31876672277729
1956-06-01,1957-10-01,16,4.762401066843591
1956-06-01,1957-11-01,17,5.112175933594225
1956-06-01,1957-12-01,18,5.908678085093028
1956-06-01,1958-01-01,19,5.844028880410713
1956-06-01,1958-02-01,20,5.415798608164688
1956-06-01,1958-03-01,21,5.853758034770153
1956-06-01,1958-04-01,22,6.139949302901835
1956-06-01,1958-05-01,23,6.537148803927272
1956-06-01,1958-06-01,24,6.963965585288503
1956-06-01,1958-07-01,25,7.779590564054143
1956-06-01,1958-08-01,26,9.317662959868493
1956-06-01,1958-09-01,27,10.658467411056122
1956-06-01,1958-10-01,28,11.604042021943746
1956-06-01,1958-11-01,29,12.38918336083199
1956-06-01,1958-12-01,30,13.23378745483781
1956-06-01,1959-01-01,31,13.918479429767553
1956-06-01,1959-02-01,32,14.971908487649154
1956-06-01,1959-03-01,33,15.898843899369933
1956-06-01,1959-04-01,34,16.727803100553906
1956-06-01,1959-05-01,35,17.54256995508643
1956-06-01,1959-06-01,36,18.761611215298984
1956-06-01,1959-07-01,37,19.915473947301308
1956-06-01,1959-08-01,38,20.93978030222369
1956-06-01,1959-09-01,39,22.44475435753133
1956-06-01,1959-10-01,40,23.464374587852483
1956-06-01,1959-11-01,41,24.580588277624575
1956-06-01,1959-12-01,42,25.905797307598064
1956-06-01,1960-01-01,43,26.753034261141927
1956-06-01,1960-02-01,44,27.658762543868658
1956-06-01,1960-03-01,45,28.205513344087272
1956-06-01,1960-04-01,46,29.318070507735577
1956-06-01,1960-05-01,47,30.634405340673002
1956-06-01,1960-06-01,48,30.92867680021011
1956-06-01,1960-07-01,49,32.275962427293386
1956-06-01,1960-08-01,50,33.44651684464457
1956-06-01,1960-09-01,51,34.98471659814868
1956-06-01,1960-10-01,52,36.1117765156055
1956-06-01,1960-11-01,53,37.54178474283119
1956-06-01,1960-12-01,54,38.81968816768979
1956-06-01,1961-01-01,55,40.231559017349426
1956-06-01,1961-02-01,56,42.063943848927394
1956-06-01,1961-03-01,57,43.583488060905594
1956-06-01,1961-04-01,58,45.0708711761546
1956-06-01,1961-05-01,59,46.78359998664777
1956-06-01,1961-06-01,60,48.480516773162805
1957-03-01,1957-04-01,1,0.06828243190204254
1957-03-01,1957-05-01,2,0.28711883831360463
1957-03-01,1957-06-01,3,0.3303076765981902
1957-03-01,1957-07-01,4,0.43951525928345486
1957-03-01,1957-08-01,5,0.16522402616064327
1957-03-01,1957-09-01,6,0.044156515227054965
1957-03-01,1957-10-01,7,0.1824719789788558
1957-03-01,1957-11-01,8,0.4286874102536577
1957-03-01,1957-12-01,9,0.24256070696023596
1957-03-01,1958-01-01,10,0.9323583754081473
1957-03-01,1958-02-01,11,2.0008956790642602
1957-03-01,1958-03-01,12,2.218758048164373
1957-03-01,1958-04-01,13,2.603751644054452
1957-03-01,1958-05-01,14,2.8933450100792526
1957-03-01,1958-06-01,15,3.1693562925490326
1957-03-01,1958-07-01,16,3.0730450413411425
1957-03-01,1958-08-01,17,2.271233738422599
1957-03-01,1958-09-01,18,1.6841100256454538
1957-03-01,1958-10-01,19,1.5101188884092425
1957-03-01,1958-11-01,20,1.5149579635001205
1957-03-01,1958-12-01,21,1.4792368621773324
1957-03-01,1959-01-01,22,1.622847855684861
1957-03-01,1959-02-01,23,1.4176712303937065
1957-03-01,1959-03-01,24,1.359479635314621
1957-03-01,1959-04-01,25,1.420310334065173
1957-03-01,1959-05-01,26,1.5169472971078966
1957-03-01,1959-06-01,27,1.2315051054763708
1957-03-01,1959-07-01,28,1.0340318977365295
1957-03-01,1959-08-01,29,0.9895149796603316
1957-03-01,1959-09-01,30,0.48835437269482984
1957-03-01,1959-10-01,31,0.4972107420356508
1957-03-01,1959-11-01,32,0.43479139225674457
1957-03-01,1959-12-01,33,0.18936489871881684
1957-03-01,1960-01-01,34,0.4485854290804212
1957-03-01,1960-02-01,35,0.6766930616680361
1957-03-01,1960-03-01,36,1.2918772734770498
1957-03-01,1960-04-01,37,1.370092524439395
1957-03-01,1960-05-01,38,1.2741239253701133
1957-03-01,1960-06-01,39,2.2305875280173404
1957-03-01,1960-07-01,40,2.1651998861046295
1957-03-01,1960-08-01,41,2.3085200623812736
1957-03-01,1960-09-01,42,2.1170053047087074
1957-03-01,1960-10-01,43,2.370295217398373
1957-03-01,1960-11-01,44,2.355177268152072
1957-03-01,1960-12-01,45,2.527601920371234
1957-03-01,1961-01-01,46,2.6024166058944354
1957-03-01,1961-02-01,47,2.2940173183619295
1957-03-01,1961-03-01,48,2.3367247001974327
1957-03-01,1961-04-01,49,2.450849372749305
1957-03-01,1961-05-01,50,2.37989941989997
1957-03-01,1961-06-01,51,2.366072812245357
1957-03-01,1961-07-01,52,2.6326163776228344
1957-03-01,1961-08-01,53,2.5815214750652573
1957-03-01,1961-09-01,54,2.54307740128137
1957-03-01,1961-10-01,55,2.482312114012097
1957-03-01,1961-11-01,56,2.433442111265316
1957-03-01,1961-12-01,57,2.443595576916316
1957-03-01,1962-01-01,58,2.335032264798815
1957-03-01,1962-02-01,59,2.3405940509960517
1957-03-01,1962-03-01,60,2.3547532233378763
1956-10-01,1956-11-01,1,0.05254578639927188
1956-10-01,1956-12-01,2,0.11652307022493677
1956-10-01,1957-01-01,3,0.12860696874296007
1956-10-01,1957-02-01,4,0.020642133485444948
1956-10-01,1957-03-01,5,0.0962583690856923
1956-10-01,1957-04-01,6,0.17642708236208313
1956-10-01,1957-05-01,7,0.4075143262935066
1956-10-01,1957-06-01,8,0.46327971086286257
1956-10-01,1957-07-01,9,0.5853328781775688
1956-10-01,1957-08-01,10,0.3240408841791259
1956-10-01,1957-09-01,11,0.21599823540083005
1956-10-01,1957-10-01,12,0.36726566104036024
1956-10-01,1957-11-01,13,0.6257102042257658
1956-10-01,1957-12-01,14,0.451004153875675
1956-10-01,1958-01-01,15,1.1514126549071995
1956-10-01,1958-02-01,16,2.229761065173861
1956-10-01,1958-03-01,17,2.456684692693793
1956-10-01,1958-04-01,18,2.8505568362756244
1956-10-01,1958-05-01,19,3.1490262647024925
1956-10-01,1958-06-01,20,3.43391905624968
1956-10-01,1958-07-01,21,3.346489660019528
1956-10-01,1958-08-01,22,2.55355474190801
1956-10-01,1958-09-01,23,1.9752963544952997
1956-10-01,1958-10-01,24,1.8101541825479917
1956-10-01,1958-11-01,25,1.823820844940655
1956-10-01,1958-12-01,26,1.7969012069566952
1956-10-01,1959-01-01,27,1.949283055002594
1956-10-01,1959-02-01,28,1.7528424413047763
1956-10-01,1959-03-01,29,1.7033480213453283
1956-10-01,1959-04-01,30,1.7728332961103126
1956-10-01,1959-05-01,31,1.8780786949556356
1956-10-01,1959-06-01,32,1.6011954702957196
1956-10-01,1959-07-01,33,1.4122286358510658
1956-10-01,1959-08-01,34,1.376162567920975
1956-10-01,1959-09-01,35,0.8833945457539538
1956-10-01,1959-10-01,36,0.9005826718146519
1956-10-01,1959-11-01,37,0.8464318598893456
1956-10-01,1959-12-01,38,0.6092084592428595
1956-10-01,1960-01-01,39,0.876564569141694
1956-10-01,1960-02-01,40,1.1127383504907633
1956-10-01,1960-03-01,41,1.7359175073470465
1956-10-01,1960-04-01,42,1.8220548649375488
1956-10-01,1960-05-01,43,1.7339340315857756
1956-10-01,1960-06-01,44,2.698169682963407
1956-10-01,1960-07-01,45,2.6404771175485293
1956-10-01,1960-08-01,46,2.7914142582987713
1956-10-01,1960-09-01,47,2.607437323560369
1956-10-01,1960-10-01,48,2.8681849934216843
1956-10-01,1960-11-01,49,2.8604439118555973
1956-10-01,1960-12-01,50,3.0401638144108025
1956-10-01,1961-01-01,51,3.12219149650514
1956-10-01,1961-02-01,52,2.8209224025137507
1956-10-01,1961-03-01,53,2.8706767086365037
1956-10-01,1961-04-01,54,2.991764649081229
1956-10-01,1961-05-01,55,2.9276939958661927
1956-10-01,1961-06-01,56,2.920662479338354
1956-10-01,1961-07-01,57,3.19391675518081
1956-10-01,1961-08-01,58,3.1494480749821534
1956-10-01,1961-09-01,59,3.117545689463247
1956-10-01,1961-10-01,60,3.0632375687063647
1957-01-01,1957-02-01,1,0.1647451218990641
1957-01-01,1957-03-01,2,0.06332507217792771
1957-01-01,1957-04-01,3,0.0013556662541546471
1957-01-01,1957-05-01,4,0.21691071126321412
1957-01-01,1957-06-01,5,0.257170727164028
1957-01-01,1957-07-01,6,0.3637717985291116
1957-01-01,1957-08-01,7,0.08722371799525205
1957-01-01,1957-09-01,8,0.03574844092769981
1957-01-01,1957-10-01,9,0.10102699257276214
1957-01-01,1957-11-01,10,0.34603175082594795
1957-01-01,1957-12-01,11,0.15911403272757163
1957-01-01,1958-01-01,12,0.8484237025492214
1957-01-01,1958-02-01,13,1.9162546749323108
1957-01-01,1958-03-01,14,2.1327868801055043
1957-01-01,1958-04-01,15,2.5163679216008177
1957-01-01,1958-05-01,16,2.8046463331075224
1957-01-01,1958-06-01,17,3.07944935420883
1957-01-01,1958-07-01,18,2.982032563964995
1957-01-01,1958-08-01,19,2.1792136468024816
1957-01-01,1958-09-01,20,1.591175562398841
1957-01-01,1958-10-01,21,1.4163587957781267
1957-01-01,1958-11-01,22,1.4204566639360574
1957-01-01,1958-12-01,23,1.3840746326929456
1957-01-01,1959-01-01,24,1.5271009957979862
1957-01-01,1959-02-01,25,1.3214122238585129
1957-01-01,1959-03-01,26,1.262777305855514
1957-01-01,1959-04-01,27,1.3232299953241413
1957-01-01,1959-05-01,28,1.4195508970089752
