ExecutionDate,ForecastDate,Horizon,RMSE_Row
1957-02-01,1961-06-01,52,0.10682601940377712
1957-02-01,1961-07-01,53,0.2141390902459972
1957-02-01,1961-08-01,54,0.06505939659930782
1957-02-01,1961-09-01,55,0.15560216123644333
1957-02-01,1961-10-01,56,0.11784649773086242
1957-02-01,1961-11-01,57,0.05043780588836366
1957-02-01,1961-12-01,58,0.1769336756458082
1957-02-01,1962-01-01,59,0.3063809764439025
1957-02-01,1962-02-01,60,0.3237703686006772
1956-07-01,1956-08-01,1,0.2778063776399309
1956-07-01,1956-09-01,2,0.5343873951158162
1956-07-01,1956-10-01,3,0.5824562694659714
1956-07-01,1956-11-01,4,0.6796061034590548
1956-07-01,1956-12-01,5,0.9043340069837926
1956-07-01,1957-01-01,6,0.7819402922571435
1956-07-01,1957-02-01,7,0.7774723816295954
1956-07-01,1957-03-01,8,0.7677803776333039
1956-07-01,1957-04-01,9,0.7788904526972567
1956-07-01,1957-05-01,10,0.7691921787641594
1956-07-01,1957-06-01,11,1.0049606998181182
1956-07-01,1957-07-01,12,0.920821547286109
1956-07-01,1957-08-01,13,1.148730167623401
1956-07-01,1957-09-01,14,1.295726844262203
1956-07-01,1957-10-01,15,1.3214573328939965
1956-07-01,1957-11-01,16,1.036590429580185
1956-07-01,1957-12-01,17,0.7948904458653123
1956-07-01,1958-01-01,18,0.17967775926239726
1956-07-01,1958-02-01,19,0.7869677052310797
1956-07-01,1958-03-01,20,1.003738500955661
1956-07-01,1958-04-01,21,1.2264560188338165
1956-07-01,1958-05-01,22,1.420027434943619
1956-07-01,1958-06-01,23,1.5238231238821212
1956-07-01,1958-07-01,24,1.3794295191792463
1956-07-01,1958-08-01,25,0.5280797446192662
1956-07-01,1958-09-01,26,0.2090606269605937
1956-07-01,1958-10-01,27,0.3916202618707474
1956-07-01,1958-11-01,28,0.41764001937798545
1956-07-01,1958-12-01,29,0.5458027330653907
1956-07-01,1959-01-01,30,0.5824671123196072
1956-07-01,1959-02-01,31,0.5289758993853235
1956-07-01,1959-03-01,32,0.6326356575267376
1956-07-01,1959-04-01,33,0.7900283227134435
1956-07-01,1959-05-01,34,0.7290838004503692
1956-07-01,1959-06-01,35,1.0317486497412554
1956-07-01,1959-07-01,36,1.102494874046231
1956-07-01,1959-08-01,37,1.2755828567133838
1956-07-01,1959-09-01,38,1.950332664733982
1956-07-01,1959-10-01,39,1.938425906217836
1956-07-01,1959-11-01,40,2.017627594025208
1956-07-01,1959-12-01,41,2.3569917641589297
1956-07-01,1960-01-01,42,2.241247154211969
1956-07-01,1960-02-01,43,1.8415606321295557
1956-07-01,1960-03-01,44,1.1824738998972304
1956-07-01,1960-04-01,45,1.1304280417240542
1956-07-01,1960-05-01,46,1.1909498700327914
1956-07-01,1960-06-01,47,0.3168668623005555
1956-07-01,1960-07-01,48,0.19913883834656332
1956-07-01,1960-08-01,49,0.1718636896268988
1956-07-01,1960-09-01,50,0.36485571953990004
1956-07-01,1960-10-01,51,0.1811482259940771
1956-07-01,1960-11-01,52,0.24557656776550774
1956-07-01,1960-12-01,53,0.11313802903465309
1956-07-01,1961-01-01,54,0.09815012831585257
1956-07-01,1961-02-01,55,0.2751826038019729
1956-07-01,1961-03-01,56,0.25624981742967057
1956-07-01,1961-04-01,57,0.18244435349011123
1956-07-01,1961-05-01,58,0.1997536142560894
1956-07-01,1961-06-01,59,0.21359356452415224
1956-07-01,1961-07-01,60,0.10628701727253143
1956-06-01,1956-07-01,1,0.06460440432379144
1956-06-01,1956-08-01,2,0.14397193139881592
1956-06-01,1956-09-01,3,0.26897153314495936
1956-06-01,1956-10-01,4,0.14965284114096056
1956-06-01,1956-11-01,5,0.0654774175520787
1956-06-01,1956-12-01,6,0.10555092738518423
1956-06-01,1957-01-01,7,0.20378669650580994
1956-06-01,1957-02-01,8,0.3978292799720786
1956-06-01,1957-03-01,9,0.5996259421437489
1956-06-01,1957-04-01,10,0.780127191556351
1956-06-01,1957-05-01,11,0.9826147092605289
1956-06-01,1957-06-01,12,0.9431876690237564
1956-06-01,1957-07-01,13,1.3753593942714017
1956-06-01,1957-08-01,14,1.266836562370457
1956-06-01,1957-09-01,15,1.180931643568794
1956-06-01,1957-10-01,16,1.1831816392582009
1956-06-01,1957-11-01,17,1.48127584385796
1956-06-01,1957-12-01,18,1.72918932611144
1956-06-01,1958-01-01,19,2.347345618478809
1956-06-01,1958-02-01,20,3.3154014933126037
1956-06-01,1958-03-01,21,3.5328643501896764
1956-06-01,1958-04-01,22,3.7559363110745623
1956-06-01,1958-05-01,23,3.949702536258592
1956-06-01,1958-06-01,24,4.053616549818773
1956-06-01,1958-07-01,25,3.909303635763519
1956-06-01,1958-08-01,26,3.058015084697772
1956-06-01,1958-09-01,27,2.3209249843738124
1956-06-01,1958-10-01,28,2.138408680568678
1956-06-01,1958-11-01,29,2.1124272251797644
1956-06-01,1958-12-01,30,1.9842987147655031
1956-06-01,1959-01-01,31,1.9476649111407744
1956-06-01,1959-02-01,32,2.0011833277946844
