Actuals,Predictions
0.6960492627203922,-2.27280204035733
0.7515332332813793,-2.280354783322102
0.4732522782230693,-2.275383665544724
-0.3371580781351156,-2.302889364598317
-0.3066333962022392,-2.2733636837644595
-1.0617597230810778,-2.313530076959309
-0.009060224657253431,-2.296061951507095
-3.7167347047714756,-2.3561565011966534
-0.3786870207928605,-2.337301823411633
0.20856533476979355,-2.350553180981357
-2.6601401704069185,-2.3406933583854674
-1.3931788101298808,-2.371096284407815
-0.987116973002859,-2.3580958601900366
0.6948229372608493,-2.3428195220586097
-3.6448754937152907,-2.3621215326684455
-2.4183519802635636,-2.3564043567698083
-2.2392930580482684,-2.3690788671127305
0.33443911961829925,-2.3520387144166532
-3.1057805015352957,-2.361752624023406
-0.3420663504547476,-2.3488338511656814
-0.7190792343337685,-2.3543340311413785
-3.6890670842567346,-2.3558815369328596
-3.005553374157733,-2.3566579524336806
-3.5514894622190356,-2.372136932571834
-3.092962508588278,-2.3524749291132965
-3.2171904553863797,-2.3655005853811932
-2.818679161843078,-2.3680263934198718
-3.139439911177128,-2.353647269448369
-3.5889722599680622,-2.38646014100466
-4.508675659394366,-2.3592699805749735
-5.043557898559811,-2.3033532678567763
-3.496824256789613,-2.3382995959418853
-4.768750830160618,-2.3171984784583506
-5.724013135330812,-2.2944567806723444
-3.8822139855372417,-2.3189119161768015
-3.3445131874025145,-2.361266199765246
-4.5790409503906115,-2.2699350011878368
-4.6875339998858205,-2.315500690835639
-5.339046140117779,-2.2754932622823367
-3.544012593594692,-2.2523383615620878
-3.668959818353206,-2.2403263215163753
-4.000232105238769,-2.264900462834662
-4.709848421647321,-2.2299911643579127
-5.164401422732723,-2.208492218362952
-3.39826189690849,-2.215118856876226
-2.0155687696025715,-2.1887103847771368
-2.380618783165899,-2.1977404400783187
-2.9262535603310247,-2.206749195781299
-2.646081146986724,-2.159983363007132
-3.498288979294905,-2.1434191595355943
-4.456455576432772,-2.1585350786060795
-3.222646841838572,-2.152539715292562
-4.0167292046068015,-2.137869878278959
-5.09569212463453,-2.1569272146810947
-2.967832315219982,-2.1585539418429365
-4.713482447759677,-2.169759523311865
-4.649188552629088,-2.1698650964372455
-4.532801142155202,-2.1566726358216415
-4.6625835742597355,-2.1822143257381903
-5.021842881955485,-2.134537283001379
-3.7176259322056175,-2.1106436206819206
-4.121993023955489,-2.1018601365756338
-4.303149284486394,-2.101805101386929
-3.42826180687458,-2.1142312785618538
-3.9922502299350153,-2.1132312214272844
-4.329708498682799,-2.122144172018547
-3.7750078574110915,-2.1627333996389386
-4.304254491066673,-2.1649931327331027
-4.323098676182132,-2.131148605748098
-4.009723221902285,-2.1598097057112295
-4.084962073128809,-2.149890129536153
-3.6172544100315336,-2.167170214218115
-4.120908065028426,-2.246991686937253
-4.333758833654635,-2.229757392711669
-4.035451987805614,-2.259809718072621
-4.153135548409862,-2.266657066228043
-4.3963575878591445,-2.230227524214432
-4.460932583715236,-2.2317636498733924
-4.86282560280383,-2.1885891063421203
-4.655581502437906,-2.1954917764282498
-4.691131588629346,-2.193007922563016
-3.66337143304613,-2.3501212114799186
-4.081588469408327,-2.212586409679559
-3.8167168061139383,-2.3579604023347547
-4.35904541802488,-2.2084423423365718
-3.778841645753525,-2.22540157077342
-3.4272768666315416,-2.350980695043241
-2.8077489067765216,-2.330981088250784
-2.682133826242545,-2.3283984487145877
-1.996239051304079,-2.398621682846169
-2.1567610626309093,-2.3837826347962032
-1.396469774288714,-2.3659980208052813
-3.210762611816944,-2.3309019481840267
-1.9775920798361257,-2.3037011705943264
-1.5584467876719788,-2.3501136850974453
-1.3909205406553509,-2.325648640382341
-1.1509834415644895,-2.342352748452542
-2.6659459281395703,-2.3697394372802463
-2.55560328306362,-2.300425398600506
-2.3373510654775536,-2.311885263036446
-2.793614507519152,-2.3268738818240373
-2.4163774636893107,-2.3231175148389496
-2.970538045073837,-2.3031657360334217
-2.613632272016799,-2.3684783954028963
-2.4077517350807565,-2.3689893686785792
-1.9627710609253706,-2.3750282771765043
-1.74584467164415,-2.3776807942226
-2.0616597514640116,-2.372555650326155
-1.8770247888591491,-2.328534470721046
-1.5634147152430584,-2.330044534032408
-1.4136044309695222,-2.3448616798631723
-1.550517417876736,-2.3504785059539532
-1.3299475253052466,-2.329216419386209
-2.8850672174695613,-2.41752706334607
-3.114579777896661,-2.424252154629283
-2.9143782840743246,-2.4246017290459223
-1.9145705628981193,-2.3538956625780325
-2.680099446476065,-2.4158721448286227
-2.723711064694842,-2.423308885550499
-2.7320654562152598,-2.4135364697093764
-2.864698936873609,-2.461025181649526
-2.5499245961680876,-2.4759995740732283
-3.076651272842757,-2.4649015575130306
-3.1450480575572612,-2.476441761578259
-3.2104369132718973,-2.4611881468202705
-2.82359517329234,-2.5365266321564537
-2.628654068745248,-2.542331352115243
-3.0442833006508745,-2.4835940612124716
-2.937464822517507,-2.5994526386662162
-2.658669574187525,-2.5541984025873403
-2.6541285367581224,-2.550591418989995
-2.6284637238967,-2.584792884008279
-2.7806521176369943,-2.5500430124881377
-2.8576934291341862,-2.587665623493093
-3.040420541163771,-2.5617344068643155
-2.6188107733029162,-2.6163748723629774
-2.566560926879847,-2.6219479880804215
-2.311424660223084,-2.604807290925621
-2.436225960601348,-2.5762699529712734
-1.8445085052371801,-2.565487498528471
-1.9602020545982053,-2.541483414100104
-1.9416350354346381,-2.5826593666775928
-0.9184164088530676,-2.5355849312313836
-1.0958219487199623,-2.5554333205816113
-1.441649941555019,-2.5252547336578686
-1.8267828512100799,-2.554466936875128
-0.9848733959331271,-2.5393271063833476
-0.8550521815081611,-2.5449762002504523
-1.6946863790864737,-2.5629256877961204
-1.7018584647913666,-2.5324448003519784
-1.6670210064666906,-2.5457246531408875
-1.0233409812894125,-2.537966897249112
-0.902387658077544,-2.529494043138303
-0.8346343943562534,-2.4636243926722456
-0.9380219726681114,-2.451705732884594
