Maturity (Years),Execution Date,Horizon (Years),Metric,Value
6.0,2003-05-01,4.0,R-Squared,-10.865213264538461
6.0,2003-05-01,5.0,RMSE,0.01354550247502522
6.0,2003-05-01,5.0,R-Squared,-8.646003036634115
7.0,2003-05-01,0.5,RMSE,0.001450111135283649
7.0,2003-05-01,0.5,R-Squared,0.6640268570078395
7.0,2003-05-01,1.0,RMSE,0.004005243007595773
7.0,2003-05-01,1.0,R-Squared,-2.4331456679575965
7.0,2003-05-01,2.0,RMSE,0.009799608573378575
7.0,2003-05-01,2.0,R-Squared,-9.392268707501874
7.0,2003-05-01,3.0,RMSE,0.013285522550362978
7.0,2003-05-01,3.0,R-Squared,-12.334658643974084
7.0,2003-05-01,4.0,RMSE,0.013579095896690605
7.0,2003-05-01,4.0,R-Squared,-12.172814219976173
7.0,2003-05-01,5.0,RMSE,0.013635724372448206
7.0,2003-05-01,5.0,R-Squared,-10.295820804147986
8.0,2003-05-01,0.5,RMSE,0.0013542557433452473
8.0,2003-05-01,0.5,R-Squared,0.6638088537363093
8.0,2003-05-01,1.0,RMSE,0.003471173223286359
8.0,2003-05-01,1.0,R-Squared,-1.8983734287874676
8.0,2003-05-01,2.0,RMSE,0.0093265949295177
8.0,2003-05-01,2.0,R-Squared,-8.051641846356906
8.0,2003-05-01,3.0,RMSE,0.013058788861852562
8.0,2003-05-01,3.0,R-Squared,-10.862931140379098
8.0,2003-05-01,4.0,RMSE,0.01358294290742286
8.0,2003-05-01,4.0,R-Squared,-12.899211673512706
8.0,2003-05-01,5.0,RMSE,0.01367048553827851
8.0,2003-05-01,5.0,R-Squared,-11.736597412455438
9.0,2003-05-01,0.5,RMSE,0.001302045451252409
9.0,2003-05-01,0.5,R-Squared,0.6423028872508608
9.0,2003-05-01,1.0,RMSE,0.003087443639639378
9.0,2003-05-01,1.0,R-Squared,-1.565132432708488
9.0,2003-05-01,2.0,RMSE,0.008924435458474487
9.0,2003-05-01,2.0,R-Squared,-7.237234900925527
9.0,2003-05-01,3.0,RMSE,0.012860518652894705
9.0,2003-05-01,3.0,R-Squared,-9.885556625670334
9.0,2003-05-01,4.0,RMSE,0.013598464597342808
9.0,2003-05-01,4.0,R-Squared,-13.227193342975434
9.0,2003-05-01,5.0,RMSE,0.01373425532830519
9.0,2003-05-01,5.0,R-Squared,-12.96274068691136
10.0,2003-05-01,0.5,RMSE,0.001288822260990019
10.0,2003-05-01,0.5,R-Squared,0.5976107508664188
10.0,2003-05-01,1.0,RMSE,0.0028832857380618505
10.0,2003-05-01,1.0,R-Squared,-1.5384750775519707
10.0,2003-05-01,2.0,RMSE,0.008663302235313086
10.0,2003-05-01,2.0,R-Squared,-6.975654918916021
10.0,2003-05-01,3.0,RMSE,0.012736621816488693
10.0,2003-05-01,3.0,R-Squared,-9.35213426932311
10.0,2003-05-01,4.0,RMSE,0.013581618272687111
