Maturity (Years),Execution Date,Horizon (Years),Metric,Value
6.0,2003-07-01,4.0,R-Squared,-9.720860019440149
6.0,2003-07-01,5.0,RMSE,0.014286379961749666
6.0,2003-07-01,5.0,R-Squared,-8.779684842069567
7.0,2003-07-01,0.5,RMSE,0.0028704298200169405
7.0,2003-07-01,0.5,R-Squared,-1.9849295438448196
7.0,2003-07-01,1.0,RMSE,0.005256036599997173
7.0,2003-07-01,1.0,R-Squared,-7.775612522265712
7.0,2003-07-01,2.0,RMSE,0.011910909016523129
7.0,2003-07-01,2.0,R-Squared,-9.762085796953201
7.0,2003-07-01,3.0,RMSE,0.014307157692878315
7.0,2003-07-01,3.0,R-Squared,-13.888552026326847
7.0,2003-07-01,4.0,RMSE,0.014528487257234947
7.0,2003-07-01,4.0,R-Squared,-11.756514449109677
7.0,2003-07-01,5.0,RMSE,0.01470863096649545
7.0,2003-07-01,5.0,R-Squared,-10.998824204154927
8.0,2003-07-01,0.5,RMSE,0.0026058988353147463
8.0,2003-07-01,0.5,R-Squared,-1.743351228074908
8.0,2003-07-01,1.0,RMSE,0.004841284767866055
8.0,2003-07-01,1.0,R-Squared,-7.474483605237113
8.0,2003-07-01,2.0,RMSE,0.01168433518365529
8.0,2003-07-01,2.0,R-Squared,-8.785156824089777
8.0,2003-07-01,3.0,RMSE,0.014365154707843858
8.0,2003-07-01,3.0,R-Squared,-13.124227496681542
8.0,2003-07-01,4.0,RMSE,0.014821307562031122
8.0,2003-07-01,4.0,R-Squared,-13.485455193988594
8.0,2003-07-01,5.0,RMSE,0.014997258791181169
8.0,2003-07-01,5.0,R-Squared,-12.962844391340123
9.0,2003-07-01,0.5,RMSE,0.0024785544669705074
9.0,2003-07-01,0.5,R-Squared,-1.8407827932591467
9.0,2003-07-01,1.0,RMSE,0.004544955932357634
9.0,2003-07-01,1.0,R-Squared,-7.351652871499999
9.0,2003-07-01,2.0,RMSE,0.01147057236153113
9.0,2003-07-01,2.0,R-Squared,-8.246569168701372
9.0,2003-07-01,3.0,RMSE,0.014405434601246646
9.0,2003-07-01,3.0,R-Squared,-12.64087103994762
9.0,2003-07-01,4.0,RMSE,0.015065399442621646
9.0,2003-07-01,4.0,R-Squared,-14.715727693338556
9.0,2003-07-01,5.0,RMSE,0.015282889687612626
9.0,2003-07-01,5.0,R-Squared,-15.05955885498157
10.0,2003-07-01,0.5,RMSE,0.002404962400086354
10.0,2003-07-01,0.5,R-Squared,-2.114929385459381
10.0,2003-07-01,1.0,RMSE,0.0044407030543442
10.0,2003-07-01,1.0,R-Squared,-8.133127794392706
10.0,2003-07-01,2.0,RMSE,0.011361690957109807
10.0,2003-07-01,2.0,R-Squared,-8.192472081031946
10.0,2003-07-01,3.0,RMSE,0.014461284607335529
10.0,2003-07-01,3.0,R-Squared,-12.431919893415326
10.0,2003-07-01,4.0,RMSE,0.015223083366998132
10.0,2003-07-01,4.0,R-Squared,-15.285011299028245
10.0,2003-07-01,5.0,RMSE,0.015471346421413339
10.0,2003-07-01,5.0,R-Squared,-16.23553987469547
0.25,2003-10-01,0.5,RMSE,0.004191139940170094
0.25,2003-10-01,0.5,R-Squared,-49.18081242460964
0.25,2003-10-01,1.0,RMSE,0.00624621328190428
0.25,2003-10-01,1.0,R-Squared,-157.88759660847546
0.25,2003-10-01,2.0,RMSE,0.009793493045129746
0.25,2003-10-01,2.0,R-Squared,-462.2723928929845
0.25,2003-10-01,3.0,RMSE,0.01017802148525934
0.25,2003-10-01,3.0,R-Squared,-5.74502376269696
0.25,2003-10-01,4.0,RMSE,0.009207218867395983
0.25,2003-10-01,4.0,R-Squared,-0.5685265412004534
0.25,2003-10-01,5.0,RMSE,0.009998598128111382
0.25,2003-10-01,5.0,R-Squared,-0.5177433677438061
0.5,2003-10-01,0.5,RMSE,0.005165138389660159
0.5,2003-10-01,0.5,R-Squared,-31.918999610506027
0.5,2003-10-01,1.0,RMSE,0.006981795420254197
0.5,2003-10-01,1.0,R-Squared,-85.38186661006623
0.5,2003-10-01,2.0,RMSE,0.010382089646279506
0.5,2003-10-01,2.0,R-Squared,-206.1317860517607
0.5,2003-10-01,3.0,RMSE,0.010275637719861015
0.5,2003-10-01,3.0,R-Squared,-4.182756778686752
0.5,2003-10-01,4.0,RMSE,0.009201531211577105
0.5,2003-10-01,4.0,R-Squared,-0.39651939950102544
0.5,2003-10-01,5.0,RMSE,0.009604103244963769
0.5,2003-10-01,5.0,R-Squared,-0.2872970009379445
1.0,2003-10-01,0.5,RMSE,0.006124570399330627
1.0,2003-10-01,0.5,R-Squared,-13.658895466972293
1.0,2003-10-01,1.0,RMSE,0.007339075297674601
1.0,2003-10-01,1.0,R-Squared,-26.988239713219237
1.0,2003-10-01,2.0,RMSE,0.010757228944770738
1.0,2003-10-01,2.0,R-Squared,-68.41205071885582
1.0,2003-10-01,3.0,RMSE,0.010223094241534876
