Maturity (Years),Execution Date,Horizon (Years),Metric,Value
9.0,2008-08-01,1.0,Volatility,0.15408810243703738
9.0,2008-08-01,1.0,Expected Returns,-0.036425894891641164
9.0,2008-08-01,1.0,Observed Annual Return,0.0719372916996055
9.0,2008-08-01,2.0,VaR,-0.274519912874092
9.0,2008-08-01,2.0,CVaR,-0.34399174630415347
9.0,2008-08-01,2.0,Volatility,0.16736201808690665
9.0,2008-08-01,2.0,Expected Returns,-0.002993436113518619
9.0,2008-08-01,2.0,Observed Annual Return,0.08859785325967873
9.0,2008-08-01,3.0,VaR,-0.27031572362787465
9.0,2008-08-01,3.0,CVaR,-0.34871230162202055
9.0,2008-08-01,3.0,Volatility,0.16507750325261636
9.0,2008-08-01,3.0,Expected Returns,-0.0063099154051906615
9.0,2008-08-01,3.0,Observed Annual Return,0.04146119468420084
9.0,2008-08-01,4.0,VaR,-0.2525793782999367
9.0,2008-08-01,4.0,CVaR,-0.315272409371344
9.0,2008-08-01,4.0,Volatility,0.15818062166695782
9.0,2008-08-01,4.0,Expected Returns,0.006905019875856506
9.0,2008-08-01,4.0,Observed Annual Return,0.04922222724072356
9.0,2008-08-01,5.0,VaR,-0.2718889194480622
9.0,2008-08-01,5.0,CVaR,-0.3359489565341722
9.0,2008-08-01,5.0,Volatility,0.168607145546331
9.0,2008-08-01,5.0,Expected Returns,0.008664604356619789
9.0,2008-08-01,5.0,Observed Annual Return,-0.039263315057311066
10.0,2008-08-01,1.0,VaR,-0.3173665757646038
10.0,2008-08-01,1.0,CVaR,-0.3790739141639989
10.0,2008-08-01,1.0,Volatility,0.17143853603191866
10.0,2008-08-01,1.0,Expected Returns,-0.03992919818400509
10.0,2008-08-01,1.0,Observed Annual Return,0.07457549116930917
10.0,2008-08-01,2.0,VaR,-0.2996004101191438
10.0,2008-08-01,2.0,CVaR,-0.37999392730802584
10.0,2008-08-01,2.0,Volatility,0.18608466649523872
10.0,2008-08-01,2.0,Expected Returns,-0.002887971468090597
10.0,2008-08-01,2.0,Observed Annual Return,0.10094965711422288
10.0,2008-08-01,3.0,VaR,-0.29708166272823494
10.0,2008-08-01,3.0,CVaR,-0.3844110957087034
10.0,2008-08-01,3.0,Volatility,0.1837565959568948
10.0,2008-08-01,3.0,Expected Returns,-0.0053810900763227336
10.0,2008-08-01,3.0,Observed Annual Return,0.04303322845332813
10.0,2008-08-01,4.0,VaR,-0.27905379977294337
10.0,2008-08-01,4.0,CVaR,-0.34726544258037234
10.0,2008-08-01,4.0,Volatility,0.17605880839976581
10.0,2008-08-01,4.0,Expected Returns,0.00972621736057088
10.0,2008-08-01,4.0,Observed Annual Return,0.04810966432146835
10.0,2008-08-01,5.0,VaR,-0.3005368756761385
10.0,2008-08-01,5.0,CVaR,-0.3715956147961481
10.0,2008-08-01,5.0,Volatility,0.18790452440666666
10.0,2008-08-01,5.0,Expected Returns,0.011754816168879348
10.0,2008-08-01,5.0,Observed Annual Return,-0.04297221065425483
0.25,2008-05-01,1.0,VaR,-0.007284639740317688
0.25,2008-05-01,1.0,CVaR,-0.009566794388910123
0.25,2008-05-01,1.0,Volatility,0.003401164472807599
0.25,2008-05-01,1.0,Expected Returns,-0.001635851102669239
0.25,2008-05-01,1.0,Observed Annual Return,0.009164465076157757
0.25,2008-05-01,2.0,VaR,-0.007071217265761748
0.25,2008-05-01,2.0,CVaR,-0.008909615987763663
0.25,2008-05-01,2.0,Volatility,0.003613047315399944
0.25,2008-05-01,2.0,Expected Returns,-0.0006301453150684697
0.25,2008-05-01,2.0,Observed Annual Return,0.0009814014015160355
0.25,2008-05-01,3.0,VaR,-0.006314064630211324
0.25,2008-05-01,3.0,CVaR,-0.008519040658146015
0.25,2008-05-01,3.0,Volatility,0.003677724017000015
0.25,2008-05-01,3.0,Expected Returns,-0.00015237335698997268
0.25,2008-05-01,3.0,Observed Annual Return,-0.002276756804480251
0.25,2008-05-01,4.0,VaR,-0.006837527426589651
0.25,2008-05-01,4.0,CVaR,-0.008421683007105355
0.25,2008-05-01,4.0,Volatility,0.0036849329801599186
0.25,2008-05-01,4.0,Expected Returns,-4.7776673041040385e-05
0.25,2008-05-01,4.0,Observed Annual Return,0.0026434692473328303
0.25,2008-05-01,5.0,VaR,-0.0065439735667436215
0.25,2008-05-01,5.0,CVaR,-0.00912787523439546
0.25,2008-05-01,5.0,Volatility,0.0038333907413002194
0.25,2008-05-01,5.0,Expected Returns,5.350923499959303e-05
0.25,2008-05-01,5.0,Observed Annual Return,0.00011004994550867231
0.5,2008-05-01,1.0,VaR,-0.014872226848652725
0.5,2008-05-01,1.0,CVaR,-0.01873679535298583
0.5,2008-05-01,1.0,Volatility,0.006877304202538033
0.5,2008-05-01,1.0,Expected Returns,-0.0028123388642520802
0.5,2008-05-01,1.0,Observed Annual Return,0.0183778470421897
0.5,2008-05-01,2.0,VaR,-0.013930386740751149
0.5,2008-05-01,2.0,CVaR,-0.017796430888929717
0.5,2008-05-01,2.0,Volatility,0.007312644501290496
0.5,2008-05-01,2.0,Expected Returns,-0.0010965040471894736
0.5,2008-05-01,2.0,Observed Annual Return,0.001882136720780081
0.5,2008-05-01,3.0,VaR,-0.012797965372587978
0.5,2008-05-01,3.0,CVaR,-0.017229753157024505
0.5,2008-05-01,3.0,Volatility,0.007486080890465346
0.5,2008-05-01,3.0,Expected Returns,-0.0003156484107864742
0.5,2008-05-01,3.0,Observed Annual Return,-0.004957190230226782
0.5,2008-05-01,4.0,VaR,-0.01354951640783585
0.5,2008-05-01,4.0,CVaR,-0.017024302979030886
0.5,2008-05-01,4.0,Volatility,0.007405121431602834
0.5,2008-05-01,4.0,Expected Returns,-0.00012190155497898703
0.5,2008-05-01,4.0,Observed Annual Return,0.006088874788575005
0.5,2008-05-01,5.0,VaR,-0.013224141822468316
0.5,2008-05-01,5.0,CVaR,-0.01823223805991781
0.5,2008-05-01,5.0,Volatility,0.0078013752409445535
0.5,2008-05-01,5.0,Expected Returns,8.27428548296515e-05
0.5,2008-05-01,5.0,Observed Annual Return,0.0002949244229193404
1.0,2008-05-01,1.0,VaR,-0.03016925536803437
1.0,2008-05-01,1.0,CVaR,-0.0368584887971819
1.0,2008-05-01,1.0,Volatility,0.014490068276464435
1.0,2008-05-01,1.0,Expected Returns,-0.004260510851980659
1.0,2008-05-01,1.0,Observed Annual Return,0.03726828992520892
1.0,2008-05-01,2.0,VaR,-0.02871848707181664
1.0,2008-05-01,2.0,CVaR,-0.03656526535839567
1.0,2008-05-01,2.0,Volatility,0.015496306701409454
1.0,2008-05-01,2.0,Expected Returns,-0.0017206784674973423
1.0,2008-05-01,2.0,Observed Annual Return,0.0041713056357690625
1.0,2008-05-01,3.0,VaR,-0.027096080453534687
1.0,2008-05-01,3.0,CVaR,-0.03612823773255156
1.0,2008-05-01,3.0,Volatility,0.016015698461767723
1.0,2008-05-01,3.0,Expected Returns,-0.0006532378139637151
1.0,2008-05-01,3.0,Observed Annual Return,-0.010025709823256124
1.0,2008-05-01,4.0,VaR,-0.02823269728499093
1.0,2008-05-01,4.0,CVaR,-0.03569248101771946
1.0,2008-05-01,4.0,Volatility,0.015583740357709411
1.0,2008-05-01,4.0,Expected Returns,-0.0002986008094577417
1.0,2008-05-01,4.0,Observed Annual Return,0.01365903117456957
1.0,2008-05-01,5.0,VaR,-0.026852643052769132
1.0,2008-05-01,5.0,CVaR,-0.03718259832611007
1.0,2008-05-01,5.0,Volatility,0.01660883165735678
1.0,2008-05-01,5.0,Expected Returns,0.00012131847363694604
1.0,2008-05-01,5.0,Observed Annual Return,0.0006715589135952715
2.0,2008-05-01,1.0,VaR,-0.061270982019252726
2.0,2008-05-01,1.0,CVaR,-0.07410166381328206
2.0,2008-05-01,1.0,Volatility,0.03164431140338975
2.0,2008-05-01,1.0,Expected Returns,-0.005486329801343302
2.0,2008-05-01,1.0,Observed Annual Return,0.06255698555340594
2.0,2008-05-01,2.0,VaR,-0.06024680591143953
2.0,2008-05-01,2.0,CVaR,-0.07826082602027501
2.0,2008-05-01,2.0,Volatility,0.03402270429360674
2.0,2008-05-01,2.0,Expected Returns,-0.002421397969262093
2.0,2008-05-01,2.0,Observed Annual Return,0.015674399261742855
2.0,2008-05-01,3.0,VaR,-0.058921176951187086
2.0,2008-05-01,3.0,CVaR,-0.07756259467868754
2.0,2008-05-01,3.0,Volatility,0.03556668548957185
2.0,2008-05-01,3.0,Expected Returns,-0.0012291913118191522
2.0,2008-05-01,3.0,Observed Annual Return,-0.01991308730951602
2.0,2008-05-01,4.0,VaR,-0.060200701919035544
2.0,2008-05-01,4.0,CVaR,-0.07733997949933616
2.0,2008-05-01,4.0,Volatility,0.034182780944596626
2.0,2008-05-01,4.0,Expected Returns,-0.0005258635839292288
2.0,2008-05-01,4.0,Observed Annual Return,0.029631748294903337
2.0,2008-05-01,5.0,VaR,-0.05810048572794536
2.0,2008-05-01,5.0,CVaR,-0.0769252105292234
2.0,2008-05-01,5.0,Volatility,0.0365089503302325
2.0,2008-05-01,5.0,Expected Returns,0.00038073197050672147
2.0,2008-05-01,5.0,Observed Annual Return,0.0012197052551157217
3.0,2008-05-01,1.0,VaR,-0.09183126170900162
3.0,2008-05-01,1.0,CVaR,-0.11158256954997206
3.0,2008-05-01,1.0,Volatility,0.049410399875286296
3.0,2008-05-01,1.0,Expected Returns,-0.006291658047120297
3.0,2008-05-01,1.0,Observed Annual Return,0.08157485462123393
3.0,2008-05-01,2.0,VaR,-0.0932199623349196
3.0,2008-05-01,2.0,CVaR,-0.12115361808566576
3.0,2008-05-01,2.0,Volatility,0.05304230562548593
3.0,2008-05-01,2.0,Expected Returns,-0.003024101130326859
3.0,2008-05-01,2.0,Observed Annual Return,0.032721980436035136
3.0,2008-05-01,3.0,VaR,-0.09008808494449926
3.0,2008-05-01,3.0,CVaR,-0.11992158346018526
3.0,2008-05-01,3.0,Volatility,0.05580232441167579
3.0,2008-05-01,3.0,Expected Returns,-0.0015919147551952196
3.0,2008-05-01,3.0,Observed Annual Return,-0.030987741341143238
3.0,2008-05-01,4.0,VaR,-0.09095062860332305
3.0,2008-05-01,4.0,CVaR,-0.11927658991359018
3.0,2008-05-01,4.0,Volatility,0.05341911977856388
3.0,2008-05-01,4.0,Expected Returns,-0.00046317018177671044
3.0,2008-05-01,4.0,Observed Annual Return,0.04647979441076
3.0,2008-05-01,5.0,VaR,-0.09051472411501194
3.0,2008-05-01,5.0,CVaR,-0.11694911235058221
3.0,2008-05-01,5.0,Volatility,0.05690743163136025
3.0,2008-05-01,5.0,Expected Returns,0.001018848774989729
3.0,2008-05-01,5.0,Observed Annual Return,0.0024744958149574003
4.0,2008-05-01,1.0,VaR,-0.12152418959139621
4.0,2008-05-01,1.0,CVaR,-0.14836302836676407
4.0,2008-05-01,1.0,Volatility,0.06689019625574841
4.0,2008-05-01,1.0,Expected Returns,-0.007393818246325057
4.0,2008-05-01,1.0,Observed Annual Return,0.09288062668369812
4.0,2008-05-01,2.0,VaR,-0.1256023110304819
4.0,2008-05-01,2.0,CVaR,-0.1628330801993215
4.0,2008-05-01,2.0,Volatility,0.07158369836712658
4.0,2008-05-01,2.0,Expected Returns,-0.0037581479583258517
4.0,2008-05-01,2.0,Observed Annual Return,0.04906534523950978
4.0,2008-05-01,3.0,VaR,-0.12150297570939585
4.0,2008-05-01,3.0,CVaR,-0.1611098147926511
4.0,2008-05-01,3.0,Volatility,0.07558109028572045
4.0,2008-05-01,3.0,Expected Returns,-0.0017458380240930782
4.0,2008-05-01,3.0,Observed Annual Return,-0.04041073913247917
4.0,2008-05-01,4.0,VaR,-0.1222541840976883
4.0,2008-05-01,4.0,CVaR,-0.159984865004791
4.0,2008-05-01,4.0,Volatility,0.07225789487035378
4.0,2008-05-01,4.0,Expected Returns,-0.00012872894262400104
4.0,2008-05-01,4.0,Observed Annual Return,0.066559162298224
4.0,2008-05-01,5.0,VaR,-0.1210592950165881
4.0,2008-05-01,5.0,CVaR,-0.15624070208761565
4.0,2008-05-01,5.0,Volatility,0.07674443508602591
4.0,2008-05-01,5.0,Expected Returns,0.0019980253724937985
4.0,2008-05-01,5.0,Observed Annual Return,0.004156343250641958
